jpg_id,coordinates,monkey_name,body_part
14,"(0.061369, 0.17771499999999998, 0.5692539999999999, 0.43582499999999996)",7124,Face
14,"(0.050788, 0.16947099999999998, 0.6687139999999999, 0.843441)",7124,Body
14,"(0.45498000000000005, 0.272214, 0.869752, 0.543018)",110E,Face
14,"(0.45498000000000005, 0.26798299999999997, 0.988258, 1.0)",110E,Body
14,"(0.5671379999999999, 0.533145, 0.719503, 0.71086)",151J,Face
15,"(0.275488, 0.063459, 0.633406, 0.55974)",7124,Face
15,"(0.272236, 0.06834000000000001, 0.81779, 1.0)",7124,Body
16,"(0.012697, 0.057828, 0.8253119999999999, 0.534556)",72X,Face
16,"(0.012697, 0.057828, 0.997884, 1.0)",72X,Body
17,"(0.0, 0.018335999999999998, 1.0, 1.0)",72X,Body
17,"(0.086764, 0.029619, 0.933238, 0.558533)",72X,Face
18,"(0.330125, 0.059238, 0.770291, 0.331453)",67G,Face
18,"(0.101577, 0.057828, 0.9755609999999999, 0.9746119999999999)",67G,Body
19,"(0.27722, 0.10860399999999999, 0.9988389999999999, 0.963329)",67G,Body
19,"(0.408424, 0.12129799999999999, 0.812615, 0.393512)",67G,Face
20,"(0.006349, 0.045529, 0.857055, 1.0)",143H,Body
20,"(0.28356899999999996, 0.045134, 0.8422419999999999, 0.409027)",143H,Face
21,"(0.008465, 0.007052, 0.9417019999999999, 1.0)",143H,Body
21,"(0.40207499999999996, 0.008463, 0.929005, 0.380818)",143H,Face
22,"(0.0, 0.0, 0.945935, 0.988717)",143H,Body
22,"(0.45074699999999995, 0.0, 0.9586319999999999, 0.324401)",143H,Face
23,"(0.005423, 0.0, 0.8915400000000001, 1.0)",143H,Body
23,"(0.406725, 0.0, 0.907809, 0.561368)",143H,Face
24,"(0.281453, 0.040902999999999995, 0.789337, 0.372355)",143H,Face
24,"(0.0, 0.023977, 0.945935, 1.0)",143H,Body
25,"(0.378797, 0.13822299999999998, 0.755478, 0.410437)",67G,Face
25,"(0.006349, 0.111425, 0.850706, 1.0)",67G,Body
26,"(0.33859, 0.122708, 0.727968, 0.40197499999999997)",67G,Face
26,"(0.055021, 0.10155099999999999, 0.791453, 1.0)",67G,Body
27,"(0.124855, 0.0, 0.931121, 0.468265)",72X,Face
27,"(0.004232, 0.0028209999999999997, 1.0, 1.0)",72X,Body
28,"(0.20527, 0.0056419999999999994, 0.9607479999999999, 0.48237)",72X,Face
28,"(0.0, 0.012693999999999999, 1.0, 1.0)",72X,Body
29,"(0.266639, 0.188999, 0.895146, 0.592384)",69X,Face
29,"(0.0, 0.17771499999999998, 0.926889, 1.0)",69X,Body
30,"(0.192573, 0.102962, 0.835893, 0.51481)",69X,Face
30,"(0.004232, 0.10437199999999999, 0.846474, 1.0)",69X,Body
31,"(0.13472499999999998, 0.497884, 1.0, 1.0)",87J,Body
31,"(0.565021, 0.499295, 0.907843, 0.7461209999999999)",87J,Face
31,"(0.0, 0.07757399999999999, 0.950167, 0.874471)",94B,Body
31,"(0.440166, 0.08885799999999999, 0.888798, 0.37799699999999997)",94B,Face
32,"(0.505768, 0.139633, 0.9586319999999999, 0.403385)",94B,Face
32,"(0.035975, 0.126939, 1.0, 0.980254)",94B,Body
33,"(0.41265599999999997, 0.098731, 0.8803329999999999, 0.396333)",94B,Face
33,"(0.0, 0.107193, 0.933238, 0.954866)",94B,Body
34,"(0.17141099999999998, 0.181946, 0.584067, 0.45839199999999997)",14F,Face
34,"(0.093112, 0.17771499999999998, 1.0, 1.0)",14F,Body
35,"(0.28356899999999996, 0.365303, 0.54386, 0.531735)",19J,Face
35,"(0.266639, 0.35543, 0.70469, 0.878702)",19J,Body
36,"(0.006349, 0.0, 1.0, 0.8349789999999999)",101G,Face
37,"(0.0, 0.0, 1.0, 0.877292)",101G,Face
38,"(0.190457, 0.125529, 1.0, 0.877292)",14F,Body
38,"(0.19680499999999998, 0.12976000000000001, 0.600997, 0.359661)",14F,Face
39,"(0.194689, 0.262341, 0.537511, 0.479549)",G701,Face
39,"(0.008465, 0.255289, 0.852823, 0.90268)",G701,Body
39,"(0.890914, 0.455571, 1.0, 0.9520449999999999)",68F,Body
40,"(0.560789, 0.300423, 0.852823, 0.51763)",68F,Face
40,"(0.131203, 0.307475, 0.852823, 1.0)",68F,Body
40,"(0.0, 0.541608, 0.11639000000000001, 0.9675600000000001)",G701,Body
41,"(0.778756, 0.31875899999999996, 1.0, 1.0)",68F,Body
41,"(0.266639, 0.275035, 0.620042, 0.49365299999999995)",G701,Face
41,"(0.002116, 0.266573, 0.774524, 0.9619179999999999)",G701,Body
42,"(0.078299, 0.102962, 1.0, 0.9153739999999999)",14F,Body
42,"(0.349171, 0.102962, 0.857055, 0.445698)",14F,Face
43,"(0.29203399999999996, 0.078984, 0.7681749999999999, 0.396333)",14F,Face
43,"(0.006349, 0.086037, 0.9417019999999999, 0.911142)",14F,Body
44,"(0.357635, 0.142454, 0.799918, 0.454161)",14F,Face
44,"(0.025394, 0.091678, 0.971329, 0.9252469999999999)",14F,Body
45,"(0.46767699999999995, 0.255289, 0.8231959999999999, 0.48942199999999997)",14F,Face
45,"(0.46132799999999996, 0.262341, 1.0, 0.9478139999999999)",14F,Body
45,"(0.156598, 0.26093099999999997, 0.40419099999999997, 0.425952)",19J,Face
45,"(0.152365, 0.24823699999999999, 0.529046, 0.7334269999999999)",19J,Body
46,"(0.728653, 0.0, 1.0, 1.0)",Unknown1,Body
46,"(0.072395, 0.509626, 0.45187000000000005, 1.0)",151J,Body
46,"(0.195704, 0.500078, 0.453461, 0.815163)",151J,Face
46,"(0.257757, 0.003581, 0.902944, 1.0)",110E,Body
46,"(0.25934799999999997, 0.0, 0.578361, 0.352084)",110E,Face
47,"(0.06988000000000001, 0.034612, 0.8512329999999999, 1.0)",7124,Face
47,"(0.0032129999999999997, 0.038560000000000004, 0.889157, 1.0)",7124,Body
48,"(0.235888, 0.22994699999999998, 0.736548, 0.57754)",110E,Face
48,"(0.003209, 0.224599, 0.734943, 1.0)",110E,Body
48,"(0.362658, 0.6524059999999999, 0.7028500000000001, 0.916578)",151J,Face
48,"(0.356239, 0.6470589999999999, 0.709268, 1.0)",151J,Body
49,"(0.170281, 0.104836, 0.968675, 1.0)",7124,Body
49,"(0.255422, 0.110861, 0.506827, 0.8290449999999999)",7124,Face
50,"(0.262407, 0.1622, 0.6094609999999999, 0.455571)",49Y,Face
50,"(0.165062, 0.16079000000000002, 0.753362, 1.0)",49Y,Body
50,"(0.2, 0.24052, 0.267391, 0.340495)",Unknown1,Face
50,"(0.184783, 0.250662, 0.8326089999999999, 0.980914)",Unknown1,Body
51,"(0.20058499999999999, 0.12192499999999999, 0.903434, 1.0)",49Y,Body
51,"(0.5118929999999999, 0.055615, 0.844061, 0.285561)",79G,Face
51,"(0.497451, 0.050267, 0.847271, 0.500535)",79G,Body
51,"(0.264772, 0.114439, 0.62743, 0.403209)",49Y,Face
52,"(0.23749299999999998, 0.134759, 0.5728700000000001, 0.33369000000000004)",79G,Face
52,"(0.224655, 0.13048099999999999, 0.834433, 0.9508019999999999)",79G,Body
52,"(0.39475099999999996, 0.26631000000000005, 0.824805, 0.527273)",49Y,Face
52,"(0.162073, 0.26738, 0.8376429999999999, 1.0)",49Y,Body
53,"(0.276005, 0.285561, 0.653104, 0.513369)",68E,Face
53,"(0.15084, 0.291979, 0.921086, 1.0)",68E,Body
54,"(0.290447, 0.541176, 0.569661, 0.7176469999999999)",167I,Face
54,"(0.208608, 0.544385, 0.625825, 1.0)",167I,Body
54,"(0.370681, 0.336898, 0.659523, 0.500535)",86I,Face
54,"(0.359448, 0.339037, 1.0, 1.0)",86I,Body
55,"(0.14763, 0.027807, 0.736548, 0.452406)",79G,Face
55,"(0.144421, 0.033155, 1.0, 1.0)",79G,Body
56,"(0.144421, 0.20107000000000003, 0.8777600000000001, 0.9475939999999999)",59E,Face
56,"(0.308098, 0.19572199999999998, 0.64829, 0.413904)",59E,Body
56,"(0.187747, 0.420321, 0.543986, 0.9112300000000001)",134J,Body
56,"(0.21181799999999998, 0.412834, 0.492637, 0.582888)",134J,Face
57,"(0.359104, 0.5777639999999999, 0.5375719999999999, 0.853096)",134J,Face
57,"(0.35404599999999997, 0.575596, 0.561416, 1.0)",134J,Body
57,"(0.432081, 0.20920899999999998, 0.6676300000000001, 0.548496)",59E,Face
57,"(0.32297699999999996, 0.21137699999999998, 0.822977, 1.0)",59E,Body
57,"(0.092486, 0.164766, 0.279624, 0.524648)",167I,Face
58,"(0.18293299999999998, 0.054544999999999996, 0.8922019999999999, 0.626738)",167I,Face
58,"(0.0016049999999999999, 0.0, 1.0, 1.0)",167I,Body
59,"(0.176515, 0.002139, 1.0, 0.674866)",68E,Face
59,"(0.0, 0.002139, 1.0, 1.0)",68E,Body
60,"(0.47801299999999997, 0.0, 0.606784, 0.12093599999999999)",Unknown2,Body
60,"(0.291304, 0.308618, 0.526087, 0.45061199999999996)",Unknown1,Face
60,"(0.22608699999999998, 0.302823, 0.680435, 0.7331500000000001)",Unknown1,Body
61,"(0.008022999999999999, 0.164706, 0.523125, 0.5754009999999999)",167I,Face
61,"(0.0, 0.002139, 1.0, 1.0)",167I,Body
62,"(0.14763, 0.18823499999999999, 0.8970159999999999, 0.660963)",68E,Face
62,"(0.141212, 0.185027, 1.0, 1.0)",68E,Body
63,"(0.215027, 0.2, 0.970831, 0.7390369999999999)",79G,Face
63,"(0.0, 0.050267, 1.0, 1.0)",79G,Body
64,"(0.0, 0.8998700000000001, 0.42728499999999997, 1.0)",Unknown2,Face
64,"(0.364262, 0.559358, 0.712478, 1.0)",Unknown1,Body
64,"(0.42524000000000006, 0.662032, 0.6515000000000001, 0.826738)",Unknown1,Face
64,"(0.49584599999999995, 0.18395699999999998, 0.945156, 0.527273)",167I,Face
64,"(0.003209, 0.002139, 0.946761, 1.0)",167I,Body
65,"(0.300075, 0.279144, 0.707664, 0.522995)",59E,Face
65,"(0.0, 0.277005, 0.885783, 1.0)",59E,Body
65,"(0.0, 0.35401099999999996, 0.22786399999999998, 0.712299)",Unknown1,Body
66,"(0.33056399999999997, 0.135829, 0.678779, 0.339037)",59E,Face
66,"(0.020860999999999998, 0.131551, 0.8536889999999999, 0.9358289999999999)",59E,Body
66,"(0.507079, 0.344385, 0.770246, 0.515508)",134J,Face
66,"(0.195771, 0.34973299999999996, 0.767037, 0.908021)",134J,Body
67,"(0.128374, 0.164706, 0.754199, 0.655615)",86I,Face
67,"(0.117142, 0.164706, 0.7814789999999999, 1.0)",86I,Body
68,"(0.0016049999999999999, 0.24492000000000003, 0.767037, 0.9486629999999999)",68E,Body
68,"(0.378704, 0.251337, 0.709268, 0.482353)",68E,Face
69,"(0.131584, 0.055615, 1.0, 0.848128)",79G,Face
69,"(0.0, 0.057754, 1.0, 1.0)",79G,Body
69,"(0.0, 0.005796, 0.61087, 0.476692)",Unknown1,Face
70,"(0.12677000000000002, 0.062032, 1.0, 0.823529)",49Y,Face
70,"(0.0, 0.069519, 1.0, 1.0)",49Y,Body
70,"(0.0, 0.037672, 0.291304, 0.469448)",Unknown1,Face
70,"(0.0, 0.047813999999999995, 0.304348, 1.0)",Unknown1,Body
71,"(0.004814, 0.00107, 1.0, 1.0)",68E,Body
71,"(0.019256, 0.002139, 0.9098529999999999, 0.5625669999999999)",68E,Face
72,"(0.0016049999999999999, 0.098396, 0.8922019999999999, 1.0)",86I,Body
72,"(0.29847, 0.098396, 0.734943, 0.38930499999999996)",86I,Face
73,"(0.20219, 0.453476, 0.612987, 0.708021)",86I,Face
73,"(0.107514, 0.452406, 0.659523, 1.0)",86I,Body
73,"(0.15084, 0.087701, 0.505474, 0.312299)",Unknown1,Face
73,"(0.086653, 0.087701, 0.616197, 0.628877)",Unknown1,Body
74,"(0.36907599999999996, 0.072727, 0.718896, 0.27807499999999996)",Unknown1,Face
74,"(0.295261, 0.413904, 0.69964, 0.6673800000000001)",86I,Face
74,"(0.085048, 0.413904, 0.828015, 1.0)",86I,Body
74,"(0.23909699999999998, 0.072727, 0.816782, 0.618182)",Unknown1,Body
75,"(0.19898000000000002, 0.459893, 0.42042599999999997, 0.591444)",134J,Face
75,"(0.15084, 0.455615, 0.50066, 0.9443849999999999)",134J,Body
75,"(0.564847, 0.217112, 1.0, 0.8887700000000001)",35Y,Body
75,"(0.125165, 0.255615, 0.43165899999999996, 0.449198)",59E,Face
75,"(0.0, 0.255615, 0.598545, 0.9422459999999999)",59E,Body
75,"(0.616197, 0.217112, 0.9483649999999999, 0.410695)",35Y,Face
76,"(0.409193, 0.22994699999999998, 0.670756, 0.39358299999999996)",Unknown1,Face
76,"(0.317726, 0.231016, 0.701245, 0.663102)",Unknown1,Body
77,"(0.29847, 0.253476, 0.6434759999999999, 0.468449)",167I,Face
77,"(0.016047, 0.253476, 0.720501, 0.9422459999999999)",167I,Body
78,"(0.261563, 0.141176, 1.0, 1.0)",167I,Body
78,"(0.0, 0.0, 0.903434, 0.898396)",Unknown1,Body
78,"(0.266377, 0.14438499999999999, 0.87455, 0.5679139999999999)",167I,Face
79,"(0.41329499999999997, 0.084551, 0.775289, 0.659063)",68E,Face
79,"(0.28396000000000005, 0.009755999999999999, 1.0, 1.0)",68E,Body
79,"(0.6734100000000001, 0.328447, 0.9978319999999999, 1.0)",Unknown1,Body
80,"(0.38511599999999996, 0.126826, 0.607659, 0.43901399999999996)",167I,Face
80,"(0.379335, 0.126826, 0.864162, 1.0)",167I,Body
81,"(0.7897400000000001, 0.204873, 1.0, 1.0)",Unknown1,Body
81,"(0.817391, 0.19242099999999998, 0.969565, 0.5250819999999999)",Unknown1,Face
81,"(0.856459, 0.49960000000000004, 1.0, 0.712073)",Unknown2,Face
81,"(0.536127, 0.145254, 0.848266, 0.708926)",G942,Face
81,"(0.291908, 0.14417000000000002, 0.928468, 1.0)",G942,Body
82,"(0.534682, 0.2504, 0.797688, 0.674238)",49Y,Face
82,"(0.00578, 0.2504, 0.82659, 1.0)",49Y,Body
83,"(0.346611, 0.08877, 0.778269, 0.344385)",G942,Face
83,"(0.12997899999999998, 0.084492, 0.988482, 0.995722)",G942,Body
83,"(0.373913, 0.0, 1.0, 0.370922)",Unknown1,Body
83,"(0.7238479999999999, 0.027308, 0.936515, 0.144343)",Unknown2,Face
84,"(0.356239, 0.277005, 0.7253149999999999, 0.494118)",86I,Face
84,"(0.34982, 0.275936, 1.0, 1.0)",86I,Body
85,"(0.057768, 0.053475999999999996, 0.983668, 1.0)",144H,Body
85,"(0.062582, 0.050267, 0.5712659999999999, 0.371123)",144H,Face
86,"(0.027280000000000002, 0.0053479999999999995, 1.0, 0.8449200000000001)",79G,Face
86,"(0.003209, 0.006417, 1.0, 1.0)",79G,Body
87,"(0.341763, 0.119238, 0.638728, 0.5409079999999999)",86I,Face
87,"(0.338873, 0.058535, 0.7478319999999999, 0.9723339999999999)",86I,Body
87,"(0.0014449999999999999, 0.0, 0.5462429999999999, 0.8314159999999999)",Unknown1,Body
88,"(0.26589599999999997, 0.28834000000000004, 0.7167629999999999, 0.943066)",144H,Face
88,"(0.0007230000000000001, 0.001084, 0.7167629999999999, 1.0)",144H,Body
89,"(0.22673000000000001, 0.290021, 0.601432, 1.0)",86I,Body
89,"(0.23229899999999998, 0.290021, 0.499602, 0.6982)",86I,Face
90,"(0.292052, 0.283422, 0.534358, 0.43315499999999996)",58I,Face
90,"(0.24712099999999998, 0.275936, 0.714082, 0.8064169999999999)",58I,Body
91,"(0.0, 0.25668399999999997, 0.343401, 0.77754)",58I,Body
91,"(0.354634, 0.5016039999999999, 0.996791, 1.0)",46J,Body
91,"(0.752595, 0.607487, 1.0, 0.771123)",46J,Face
91,"(0.0, 0.263102, 0.21984099999999998, 0.43315499999999996)",58I,Face
92,"(0.564847, 0.35187199999999996, 0.795921, 0.516578)",58I,Face
92,"(0.44931000000000004, 0.35401099999999996, 0.836038, 0.8438500000000001)",58I,Body
93,"(0.46535699999999997, 0.23957199999999998, 0.778269, 0.411765)",58I,Face
93,"(0.06900099999999999, 0.23957199999999998, 0.8922019999999999, 0.894118)",58I,Body
94,"(0.0, 0.706376, 0.08547, 0.911453)",46J,Face
94,"(0.207004, 0.47486599999999995, 1.0, 1.0)",58I,Body
94,"(0.6515000000000001, 0.47593599999999997, 0.945156, 0.670588)",58I,Face
95,"(0.380309, 0.247059, 0.646686, 0.426738)",58I,Face
95,"(0.0, 0.235294, 0.67557, 0.818182)",58I,Body
96,"(0.0016049999999999999, 0.17219299999999998, 0.5504049999999999, 0.7336900000000001)",58I,Body
96,"(0.290447, 0.180749, 0.518311, 0.337968)",58I,Face
96,"(0.436473, 0.28984000000000004, 0.672361, 0.428877)",46J,Face
96,"(0.40277399999999997, 0.28877, 0.8777600000000001, 0.762567)",46J,Body
97,"(0.264772, 0.372193, 0.5118929999999999, 0.537968)",58I,Face
97,"(0.19256199999999998, 0.35615, 0.7333379999999999, 0.8641709999999999)",58I,Body
98,"(0.49482899999999996, 0.108609, 0.666667, 0.368793)",58I,Face
98,"(0.308671, 0.105028, 0.6786, 0.8951279999999999)",58I,Body
99,"(0.231504, 0.204089, 0.544153, 0.9703189999999999)",58I,Body
99,"(0.29753399999999997, 0.20767000000000002, 0.43755000000000005, 0.45233799999999996)",58I,Face
99,"(0.417661, 0.23154000000000002, 0.5680189999999999, 0.436822)",46J,Face
99,"(0.417661, 0.226766, 0.6587109999999999, 0.947642)",46J,Body
100,"(0.303103, 0.15993000000000002, 0.49642000000000003, 0.39982399999999996)",58I,Face
100,"(0.229117, 0.15993000000000002, 0.531424, 0.9870279999999999)",58I,Body
101,"(0.27685000000000004, 0.182606, 0.46618899999999996, 0.43920899999999996)",58I,Face
101,"(0.23229899999999998, 0.12889799999999998, 0.545744, 1.0)",58I,Body
102,"(0.331742, 0.040579, 0.509944, 0.309118)",58I,Face
102,"(0.27685000000000004, 0.0, 0.6125700000000001, 0.9428679999999999)",58I,Body
103,"(0.594272, 0.152768, 0.7517900000000001, 0.39624299999999996)",58I,Face
103,"(0.548926, 0.14083299999999999, 0.8377089999999999, 1.0)",58I,Body
104,"(0.512331, 0.236314, 0.680986, 0.503659)",58I,Face
104,"(0.383453, 0.226766, 0.8178200000000001, 1.0)",58I,Body
105,"(0.46459799999999996, 0.469047, 0.630072, 0.757875)",58I,Face
105,"(0.439141, 0.367599, 0.680986, 0.874838)",58I,Body
106,"(0.256961, 0.174252, 0.48607799999999995, 0.532303)",58I,Face
106,"(0.20127299999999998, 0.153962, 0.824185, 1.0)",58I,Body
107,"(0.159109, 0.097867, 0.5934769999999999, 1.0)",26J,Body
107,"(0.169451, 0.120544, 0.407319, 0.491724)",26J,Face
108,"(0.5648369999999999, 0.122931, 0.7796339999999999, 0.47620799999999996)",26J,Face
108,"(0.124105, 0.120544, 0.7772469999999999, 1.0)",26J,Body
108,"(0.0, 0.0, 0.615385, 0.380401)",Unknown1,Body
109,"(0.175815, 0.087126, 0.8233889999999999, 0.9536100000000001)",DF2I,Face
109,"(0.001591, 0.09190000000000001, 0.9642000000000001, 1.0)",DF2I,Body
110,"(0.538584, 0.059675, 0.9459029999999999, 0.6707489999999999)",167I,Face
110,"(0.020683999999999998, 0.101448, 0.421639, 0.65046)",86I,Face
110,"(0.003978, 0.079965, 0.43755000000000005, 1.0)",86I,Body
110,"(0.451074, 0.044160000000000005, 1.0, 1.0)",167I,Body
111,"(0.107514, 0.335829, 1.0, 1.0)",68E,Body
111,"(0.27921399999999996, 0.371123, 0.714082, 0.658824)",68E,Face
112,"(0.240255, 0.0, 0.735879, 0.767423)",167I,Face
112,"(0.23468599999999998, 0.002387, 1.0, 1.0)",167I,Body
113,"(0.105012, 0.0, 0.6412089999999999, 0.7220700000000001)",167I,Face
113,"(0.095465, 0.001194, 0.88385, 1.0)",167I,Body
114,"(0.420048, 0.0, 0.968178, 0.620622)",167I,Face
114,"(0.35163099999999997, 0.001194, 1.0, 1.0)",167I,Body
115,"(0.0, 0.0, 0.7621319999999999, 0.9977689999999999)",86I,Body
115,"(0.354018, 0.090706, 0.758154, 0.683878)",86I,Face
116,"(0.462148, 0.451337, 0.863317, 0.8834219999999999)",134J,Body
116,"(0.49103199999999997, 0.452406, 0.7333379999999999, 0.596791)",134J,Face
116,"(0.28563299999999997, 0.28021399999999996, 0.614592, 0.482353)",59E,Face
116,"(0.104304, 0.268449, 0.696431, 0.980749)",59E,Body
117,"(0.362768, 0.315085, 0.7295149999999999, 0.897515)",G942,Face
117,"(0.042959, 0.316279, 0.7334919999999999, 1.0)",G942,Body
118,"(0.458234, 0.0, 0.708035, 0.318666)",48Z,Face
118,"(0.338107, 0.001194, 0.739857, 1.0)",48Z,Body
118,"(0.770088, 0.535883, 1.0, 1.0)",Unknown1,Body
119,"(0.415274, 0.110996, 0.622116, 0.42369399999999996)",59E,Face
119,"(0.280032, 0.093093, 0.622912, 1.0)",59E,Body
119,"(0.534606, 0.369986, 0.695306, 0.5943649999999999)",134J,Face
119,"(0.5067619999999999, 0.353277, 0.74463, 1.0)",134J,Body
120,"(0.190135, 0.206476, 0.916468, 1.0)",167I,Body
120,"(0.334924, 0.241088, 0.5982500000000001, 0.6146539999999999)",167I,Face
121,"(0.48766899999999996, 0.217218, 1.0, 1.0)",70G,Body
121,"(0.0, 0.0, 0.371519, 0.565721)",79G,Face
121,"(0.0, 0.0, 0.479714, 0.985834)",79G,Body
121,"(0.545744, 0.229153, 0.983294, 0.872451)",70G,Face
122,"(0.44073199999999996, 0.021483, 0.70008, 0.361632)",167I,Face
122,"(0.325378, 0.0, 0.741448, 1.0)",167I,Body
123,"(0.296738, 0.050127, 0.722355, 1.0)",Unknown1,Body
123,"(0.338902, 0.06683599999999999, 0.5696100000000001, 0.393856)",Unknown1,Face
124,"(0.287987, 0.16351000000000002, 0.587908, 1.0)",Unknown1,Body
124,"(0.323787, 0.181413, 0.570406, 0.523948)",Unknown1,Face
125,"(0.240255, 0.262571, 0.599841, 0.824711)",68E,Face
125,"(0.19172599999999998, 0.26973199999999997, 0.77327, 1.0)",68E,Body
126,"(0.287192, 0.076384, 0.673827, 1.0)",68E,Body
126,"(0.313445, 0.056095, 0.661098, 0.612267)",68E,Face
127,"(0.33572, 0.14083299999999999, 0.653142, 0.744746)",68E,Face
127,"(0.062848, 0.079965, 0.6563249999999999, 1.0)",68E,Body
128,"(0.5194909999999999, 0.050127, 0.916468, 0.843807)",49Y,Face
128,"(0.26889399999999997, 0.050127, 0.951472, 1.0)",49Y,Body
128,"(0.0, 0.022192999999999997, 0.319527, 0.541505)",Unknown1,Face
128,"(0.0, 0.013316, 0.39645, 1.0)",Unknown1,Body
129,"(0.292052, 0.22352899999999998, 0.667547, 0.46738)",G942,Face
129,"(0.046536, 0.212834, 0.828015, 0.9486629999999999)",G942,Body
130,"(0.057768, 0.0, 0.906644, 0.450267)",70G,Face
130,"(0.0, 0.0, 0.962808, 1.0)",70G,Body
131,"(0.089862, 0.0, 0.778269, 0.484492)",144H,Face
131,"(0.003209, 0.002139, 0.9082479999999999, 1.0)",144H,Body
132,"(0.27761, 0.045988999999999995, 0.744571, 0.36363599999999996)",79G,Face
132,"(0.0, 0.037433, 1.0, 1.0)",79G,Body
133,"(0.29203399999999996, 0.400564, 0.651785, 0.6135400000000001)",14F,Face
133,"(0.118506, 0.67701, 0.431702, 0.8575459999999999)",19J,Face
133,"(0.268756, 0.393512, 1.0, 0.868829)",14F,Body
134,"(0.363984, 0.172073, 0.8655200000000001, 0.520451)",101G,Face
134,"(0.120623, 0.173484, 1.0, 1.0)",101G,Body
134,"(0.006349, 0.380818, 0.463445, 1.0)",68F,Body
135,"(0.08888, 0.22567, 1.0, 1.0)",101G,Body
