monkey_id,body,face
53,"(695, 687, 3648, 4801)","(718, 710, 2192, 1968)"
54,"(3250, 2493, 3648, 5210)",
55,"(31, 1397, 3111, 4939)","(710, 1436, 1961, 2624)"
56,"(479, 1683, 3111, 5472)","(2046, 1644, 3111, 2832)"
57,"(0, 2964, 425, 5294)",
58,"(2841, 1744, 3648, 5472)",
59,"(8, 1459, 2825, 5264)","(973, 1505, 2262, 2701)"
60,"(286, 563, 3648, 5009)","(1274, 563, 3127, 2439)"
61,"(23, 471, 3435, 4986)","(1065, 432, 2802, 2169)"
62,"(93, 502, 3543, 5063)","(1305, 780, 2918, 2485)"
63,"(1683, 1436, 3648, 5186)","(1706, 1397, 3003, 2678)"
64,"(556, 1358, 1930, 4013)","(571, 1428, 1474, 2331)"
65,"(1410, 13, 4941, 3648)","(1419, 0, 3165, 1284)"
66,"(396, 1859, 2473, 3648)","(1071, 1824, 2481, 2974)"
67,"(3987, 0, 5472, 3648)",
68,"(18, 141, 4865, 3648)","(382, 126, 4658, 3648)"
69,"(12, 1229, 2681, 5472)","(861, 1258, 2687, 3160)"
70,"(1300, 3541, 2587, 5472)","(1323, 3570, 2564, 5016)"
71,"(932, 382, 5301, 3648)","(1398, 404, 2773, 3024)"
72,"(602, 880, 2748, 5472)","(957, 888, 2223, 2493)"
73,"(674, 1372, 3037, 5368)","(730, 1316, 975, 1863)"
74,"(732, 667, 3296, 5472)","(966, 626, 2289, 2206)"
75,"(1815, 275, 3091, 2739)","(1867, 304, 3079, 1563)"
76,"(591, 1463, 3056, 5472)","(1440, 1457, 3009, 2885)"
77,"(820, 714, 3044, 5203)","(866, 737, 2090, 1826)"
78,"(550, 1598, 3360, 5472)","(1007, 1563, 2383, 2809)"
79,"(761, 2979, 2283, 5472)","(1060, 2961, 2078, 3927)"
80,"(1311, 1855, 3648, 5472)","(1352, 1844, 2406, 2739)"
81,"(527, 181, 3648, 5472)","(539, 152, 2687, 2476)"
82,"(685, 2300, 1984, 4986)","(773, 2259, 1797, 3190)"
83,"(1124, 1071, 2365, 2265)","(527, 1100, 3202, 5185)"
84,"(1937, 2100, 3072, 3648)","(1965, 2108, 2942, 3112)"
85,,"(506, 601, 1530, 1914)"
86,,
87,"(1767, 771, 4503, 3648)","(2364, 763, 3653, 2001)"
88,"(6, 0, 3648, 5472)","(667, 298, 3255, 3430)"
89,"(0, 12, 3648, 5472)","(644, 12, 3648, 3693)"
90,"(825, 1657, 2482, 4012)","(1063, 1689, 1919, 2466)"
91,"(1744, 0, 2214, 662)",
92,"(0, 12, 3648, 5472)","(29, 901, 1908, 3149)"
93,"(515, 1012, 3648, 5472)","(539, 1030, 3272, 3617)"
94,"(0, 275, 3648, 5472)","(784, 1094, 3542, 4044)"
95,"(12, 12, 3454, 5472)","(1809, 1007, 3448, 2885)"
96,"(1329, 3061, 2599, 5472)","(1551, 3623, 2377, 4524)"
97,,"(0, 4924, 1559, 5472)"
98,"(0, 1516, 3231, 5472)","(1095, 1527, 2582, 2862)"
99,"(0, 1937, 831, 3898)",
100,"(714, 1914, 2798, 4969)","(1850, 1884, 2810, 2821)"
101,"(76, 720, 3114, 5121)","(1206, 743, 2476, 1855)"
102,"(427, 901, 2851, 5472)","(468, 901, 2751, 3588)"
103,"(6, 1340, 2798, 5191)","(1382, 1375, 2587, 2639)"
104,"(0, 316, 3648, 5472)","(480, 304, 3648, 4641)"
105,,"(0, 32, 2228, 2608)"
106,"(0, 380, 3648, 5472)","(462, 339, 3648, 4506)"
107,"(0, 262, 1110, 5472)","(0, 206, 1063, 2569)"
108,"(18, 6, 3648, 5472)","(70, 12, 3319, 3078)"
109,"(6, 538, 3255, 5472)","(1089, 538, 2681, 2130)"
110,"(392, 2476, 2406, 5472)","(738, 2481, 2236, 3874)"
111,"(316, 480, 2248, 3441)","(550, 480, 1844, 1709)"
112,"(310, 2265, 3021, 5472)","(1077, 2265, 2552, 3652)"
113,"(872, 398, 2980, 3383)","(1346, 398, 2623, 1522)"
114,"(550, 2493, 1826, 5168)","(726, 2517, 1534, 3236)"
115,"(2061, 1188, 3648, 4863)","(2248, 1188, 3460, 2247)"
116,"(0, 1399, 2183, 5156)","(457, 1399, 1575, 2458)"
117,"(1159, 1264, 2558, 3628)","(1493, 1258, 2447, 2154)"
118,"(59, 1387, 2628, 5156)","(1089, 1387, 2347, 2563)"
119,"(954, 773, 3648, 5472)","(972, 790, 3190, 3108)"
120,"(0, 0, 3296, 4916)",
121,"(1554, 36, 5472, 3648)","(2262, 308, 4242, 2404)"
122,"(3685, 1198, 5460, 3648)",
123,"(2076, 463, 4729, 3648)","(2107, 463, 3325, 1602)"
124,"(1597, 526, 5081, 3648)","(2934, 530, 4642, 2586)"
125,"(4321, 747, 5472, 3648)","(4473, 702, 5305, 1915)"
126,,"(4687, 1823, 5472, 2598)"
127,"(32, 913, 4523, 3648)","(2926, 913, 4365, 2460)"
128,"(474, 462, 3606, 5449)","(1264, 486, 2839, 1884)"
129,"(1364, 0, 3648, 2030)",
130,,"(2641, 149, 3416, 790)"
131,"(1276, 1510, 3648, 5472)","(1300, 1516, 2646, 2704)"
132,"(211, 293, 3588, 5472)","(228, 275, 2084, 2031)"
133,"(12, 35, 3648, 5472)","(100, 29, 3648, 4623)"
134,"(1854, 214, 4092, 3547)","(1870, 435, 3495, 1973)"
135,"(8, 0, 2989, 3033)",
136,"(4, 4, 3922, 3648)","(1455, 1052, 3922, 3440)"
137,"(1241, 1058, 3291, 3648)","(1271, 1058, 2734, 2547)"
138,"(901, 1510, 2605, 4413)","(1065, 1551, 1949, 2370)"
139,"(1294, 2745, 3636, 5472)","(2745, 3324, 3648, 4220)"
140,"(0, 1405, 1253, 4255)","(0, 1440, 802, 2370)"
141,,
142,"(1639, 1937, 3050, 4618)","(2061, 1925, 2904, 2827)"
143,"(252, 1311, 3255, 4893)","(1698, 1311, 2839, 2253)"
144,,"(0, 3865, 312, 4987)"
145,"(755, 2598, 3648, 5472)","(2377, 2604, 3448, 3669)"
146,"(0, 1288, 2464, 4477)","(1387, 1352, 2359, 2335)"
147,"(1469, 1580, 3202, 4173)","(1592, 1586, 2453, 2347)"
148,"(6, 942, 2008, 4015)","(1060, 989, 1891, 1849)"
149,"(702, 1949, 2675, 4729)","(966, 2037, 1867, 2944)"
150,"(1689, 383, 3713, 3265)","(2708, 396, 3648, 1345)"
151,"(2285, 827, 3604, 3457)","(2285, 845, 3108, 1594)"
152,"(1267, 745, 2978, 3540)","(1628, 758, 2394, 1650)"
153,"(1254, 583, 2908, 3601)","(1659, 583, 2716, 1459)"
154,"(1271, 470, 2986, 3648)","(1515, 666, 2551, 1602)"
155,"(1515, 0, 3352, 3440)","(1815, 148, 2790, 1128)"
156,"(3004, 514, 4584, 3648)","(3252, 557, 4114, 1445)"
157,"(2098, 827, 4475, 3648)","(2803, 862, 3726, 1837)"
158,"(2403, 1341, 3726, 3191)","(2542, 1711, 3448, 2765)"
159,"(1101, 562, 4510, 3648)","(1406, 636, 2660, 1942)"
160,"(871, 357, 3248, 3648)","(927, 440, 2229, 1794)"
161,"(679, 440, 4253, 3648)","(3091, 448, 4266, 1737)"
162,"(0, 0, 3367, 1388)",
163,"(9, 335, 5276, 3648)","(962, 318, 4506, 3479)"
164,"(2468, 161, 5472, 3648)","(2947, 218, 5176, 2447)"
165,"(22, 292, 2394, 3648)","(113, 370, 2307, 2373)"
166,"(392, 1838, 3648, 5472)","(1019, 2031, 2605, 3605)"
167,"(1284, 9, 5472, 3648)","(1315, 0, 4027, 2800)"
168,"(522, 4, 4836, 3648)","(575, 0, 3509, 2634)"
169,"(1924, 4, 5472, 3648)","(2299, 0, 5298, 2264)"
170,"(0, 0, 4170, 3640)","(1937, 331, 4149, 2495)"
171,"(1686, 2470, 3149, 4834)","(1791, 2476, 2675, 3266)"
172,"(381, 1469, 2541, 5367)","(1042, 1533, 2242, 2639)"
173,"(235, 1154, 4014, 3648)","(1985, 1149, 3992, 3274)"
174,"(1850, 4, 4048, 3648)","(2507, 0, 3874, 1162)"
175,"(4214, 1955, 5472, 3648)",
176,"(2773, 1289, 4075, 3648)","(2925, 1350, 3805, 2168)"
177,"(1532, 340, 3409, 3648)","(2272, 405, 3404, 1546)"
178,"(1040, 753, 5015, 3648)","(1833, 879, 3274, 2242)"
179,"(2669, 792, 5472, 3648)","(2986, 836, 5381, 3183)"
180,"(0, 0, 2625, 3596)","(0, 0, 2033, 2064)"
181,"(1780, 0, 4057, 3648)","(2412, 78, 3831, 1319)"
182,"(1624, 183, 3953, 3648)","(1854, 244, 3117, 1437)"
183,"(1576, 596, 3217, 3648)","(1772, 662, 3121, 1911)"
184,"(1049, 984, 4231, 3648)","(1315, 958, 3282, 3009)"
185,"(1572, 279, 3687, 3648)","(1715, 205, 3618, 2234)"
186,"(344, 292, 3591, 3648)","(1837, 514, 3574, 2717)"
187,,
188,"(1471, 183, 5206, 3648)","(2843, 183, 5015, 3078)"
189,"(0, 49, 2169, 3648)","(0, 81, 1748, 1975)"
190,"(170, 1165, 3021, 5191)","(1065, 1223, 2435, 2558)"
191,"(0, 0, 3512, 5472)","(211, 0, 3307, 2464)"
192,"(12, 12, 3313, 5472)","(328, 0, 2839, 2651)"
193,"(0, 205, 3648, 5472)","(1013, 252, 2716, 1990)"
194,"(980, 2153, 3648, 4754)","(1065, 2192, 2378, 3357)"
195,,"(432, 3705, 1575, 4692)"
196,"(440, 949, 3648, 5472)","(1328, 942, 3157, 2848)"
197,"(23, 2084, 1691, 5472)",
198,"(324, 1235, 3648, 5472)","(811, 1204, 2717, 2910)"
199,"(0, 2323, 1459, 5472)",
200,"(2991, 214, 5264, 3648)","(3021, 243, 4511, 1668)"
201,"(0, 267, 4398, 3648)","(0, 279, 1352, 2428)"
202,"(3377, 505, 5472, 3648)","(3466, 469, 5003, 1965)"
203,"(42, 979, 4623, 3648)","(0, 973, 1709, 2499)"
204,"(1220, 0, 3648, 4314)","(2212, 0, 3648, 1397)"
205,"(0, 0, 3011, 4862)",
206,"(695, 0, 3648, 5333)","(1451, 69, 3567, 2022)"
207,"(15, 1304, 2092, 5472)",
208,"(1656, 237, 4107, 3648)","(2178, 315, 3377, 1531)"
209,"(1318, 6, 5472, 3648)","(1323, 0, 3822, 2178)"
210,"(1513, 0, 5472, 3648)","(1555, 6, 3887, 2457)"
211,"(1668, 617, 3834, 3648)","(2042, 629, 3246, 1549)"
212,"(2249, 315, 4279, 3648)","(2706, 326, 3899, 1466)"
213,"(201, 2755, 3119, 5472)","(926, 2902, 2185, 4245)"
214,"(502, 903, 3648, 5387)","(1266, 1042, 2571, 2331)"
215,"(309, 1436, 3648, 5472)","(332, 1459, 2246, 3558)"
216,"(0, 1273, 3648, 5472)","(386, 1304, 2393, 3535)"
217,"(15, 556, 3648, 5472)","(942, 579, 3343, 3188)"
218,"(0, 0, 1096, 1459)",
219,"(749, 2007, 2455, 4808)","(1050, 2030, 1868, 2925)"
220,"(425, 2562, 1822, 5472)","(741, 2570, 1613, 3303)"
221,"(0, 988, 3648, 5472)","(1166, 1011, 2578, 2516)"
222,"(1359, 12, 5472, 3648)","(2481, 36, 3715, 1116)"
223,"(4249, 2546, 5472, 3348)",
224,"(425, 1273, 3165, 4654)","(834, 1289, 1945, 2385)"
225,"(556, 756, 3242, 4584)","(1536, 733, 2656, 2007)"
226,"(262, 509, 3605, 5472)","(1783, 594, 3605, 2601)"
227,"(1327, 62, 5204, 3648)","(3257, 0, 5195, 2035)"
228,"(105, 837, 3325, 5472)","(410, 813, 2043, 2388)"
229,"(2751, 901, 3648, 3734)","(2757, 936, 3648, 2288)"
230,"(2146, 0, 3648, 5124)",
231,"(70, 866, 2985, 5472)","(1358, 825, 2827, 2335)"
232,"(2769, 813, 3648, 3348)","(2769, 831, 3648, 2212)"
233,"(2148, 0, 3648, 5244)",
234,"(41, 1235, 3231, 5472)","(784, 1235, 2365, 2874)"
235,"(2763, 667, 3313, 3131)","(2822, 673, 3325, 1814)"
236,"(2049, 0, 3648, 4928)",
237,"(18, 1089, 3307, 5472)","(1200, 1065, 2786, 2639)"
238,,"(2599, 644, 3460, 1943)"
239,"(2207, 0, 3401, 5010)",
240,"(29, 714, 2716, 5472)","(1118, 737, 2704, 2399)"
241,"(2055, 0, 3372, 4664)",
242,,
243,"(1508, 514, 3187, 2994)","(1793, 514, 2707, 1437)"
244,"(2079, 0, 4338, 2123)",
245,"(1653, 659, 3402, 3090)","(1916, 673, 2896, 1596)"
246,"(2158, 0, 4483, 2405)",
247,"(1683, 541, 3556, 2831)","(1727, 567, 2729, 1561)"
248,"(2118, 0, 4391, 1978)",
249,"(1934, 365, 4052, 2813)","(1991, 347, 2976, 1358)"
250,"(2409, 0, 4720, 2013)",
251,"(726, 263, 2728, 4781)","(1188, 252, 2535, 1574)"
252,"(1622, 1369, 3648, 5343)",
253,"(0, 615, 2564, 5197)","(650, 667, 2014, 2048)"
254,"(2043, 164, 3648, 5472)","(3413, 187, 3648, 1241)"
255,"(0, 234, 3565, 5472)","(228, 275, 2798, 2546)"
256,"(35, 129, 3430, 5472)","(94, 158, 2950, 2634)"
257,"(252, 603, 3021, 5472)","(901, 650, 2687, 2417)"
258,"(2066, 0, 3648, 4255)",
259,"(866, 650, 3648, 5472)","(1030, 655, 3196, 2821)"
260,"(621, 263, 3606, 5472)","(697, 275, 2827, 2435)"
261,"(304, 47, 3401, 5472)","(831, 64, 3015, 2247)"
262,"(12, 310, 3272, 5472)","(503, 386, 2511, 2522)"
263,"(457, 1662, 2763, 4641)","(503, 1814, 1680, 3061)"
264,"(6, 954, 3067, 5373)","(521, 1012, 1943, 2499)"
265,"(29, 872, 3067, 5296)","(492, 919, 1885, 2376)"
266,"(222, 732, 3389, 5396)","(907, 849, 2388, 2130)"
267,"(59, 1024, 3337, 5472)","(1253, 1018, 2675, 2534)"
268,"(18, 23, 3648, 5472)","(650, 0, 3149, 2253)"
269,"(0, 18, 3648, 5472)","(749, 12, 3395, 2405)"
270,"(105, 667, 3648, 5472)","(369, 673, 2383, 2768)"
271,,
272,"(1169, 9, 5107, 3648)","(1217, 9, 2549, 1451)"
273,"(18, 64, 3648, 5472)","(626, 53, 2939, 2756)"
274,"(18, 18, 3489, 5472)","(650, 0, 3032, 2727)"
275,"(246, 497, 2804, 5472)","(1042, 497, 2529, 2119)"
276,"(1160, 9, 4136, 3051)","(2136, 1284, 4136, 3130)"
277,"(193, 23, 3648, 5472)","(1422, 23, 3436, 2411)"
278,"(474, 64, 2956, 5174)","(1182, 82, 2991, 1879)"
279,"(23, 6, 3648, 5472)","(820, 29, 2798, 1961)"
280,"(23, 18, 3648, 5472)","(480, 23, 2154, 1972)"
281,,
282,,
283,"(152, 152, 3354, 5472)","(784, 158, 2558, 2037)"
284,"(2248, 99, 3648, 4659)","(3044, 88, 3648, 1609)"
285,,"(2927, 1750, 3648, 2739)"
286,,
287,,
288,"(492, 12, 3648, 5472)","(1229, 0, 3085, 1955)"
289,"(2664, 0, 3648, 2610)","(2921, 0, 3648, 1036)"
290,,"(3044, 1024, 3648, 1791)"
291,"(661, 533, 3120, 5419)","(948, 550, 2587, 2534)"
292,"(234, 375, 3648, 5232)","(492, 386, 2254, 1972)"
293,"(0, 1908, 2312, 5472)","(632, 1937, 1826, 3108)"
294,"(0, 205, 3648, 5472)","(228, 222, 2634, 2651)"
295,"(6, 544, 3372, 5472)","(960, 562, 2623, 2534)"
296,"(521, 1317, 2558, 4670)","(685, 1334, 1680, 2241)"
297,"(568, 2189, 2511, 4401)","(626, 2195, 1282, 3008)"
298,"(263, 1908, 2786, 5045)","(843, 1908, 1774, 2827)"
299,"(861, 2862, 2552, 4863)","(896, 2868, 1668, 3570)"
300,"(679, 1680, 3021, 4781)","(1182, 1691, 2137, 2622)"
301,"(1089, 2634, 3056, 4635)","(1147, 2651, 1949, 3371)"
302,"(474, 1557, 2868, 4735)","(948, 1586, 1885, 2534)"
303,"(907, 2540, 2874, 4518)","(937, 2552, 1721, 3266)"
304,"(369, 23, 3648, 5472)","(416, 35, 2330, 2113)"
305,"(556, 111, 3648, 5472)","(802, 94, 2541, 2083)"
306,"(234, 258, 3648, 5472)","(451, 252, 2248, 2353)"
307,"(252, 339, 3648, 5472)","(340, 375, 2178, 2511)"
308,"(580, 2692, 1897, 4928)","(720, 2716, 1627, 3570)"
309,"(111, 638, 3648, 5472)","(784, 691, 2353, 2230)"
310,"(574, 2312, 1879, 4682)","(650, 2364, 1516, 3219)"
311,"(53, 515, 3612, 5349)","(714, 521, 2330, 2119)"
312,"(521, 2546, 1739, 4746)","(702, 2575, 1592, 3435)"
313,"(0, 521, 3641, 5472)","(580, 533, 2014, 1966)"
314,"(972, 2247, 2084, 4653)","(1042, 2265, 1891, 3108)"
315,"(334, 316, 3648, 5472)","(1089, 334, 2722, 1937)"
316,"(626, 2236, 1873, 4811)","(685, 2259, 1575, 3137)"
317,"(0, 527, 3648, 5472)","(1077, 521, 2699, 2206)"
318,"(0, 0, 3647, 5460)","(0, 0, 3050, 2745)"
319,"(12, 345, 3648, 5472)","(211, 363, 2693, 2598)"
320,"(132, 532, 3393, 3648)","(127, 681, 1345, 2185)"
321,"(3296, 1864, 4167, 3438)","(3332, 1864, 4140, 2651)"
322,"(3208, 215, 5472, 3648)","(3411, 229, 4887, 1644)"
323,"(633, 519, 3789, 3648)","(677, 519, 1881, 2062)"
324,"(3512, 1829, 4386, 3648)","(3692, 1837, 4351, 2589)"
325,"(3507, 53, 5472, 3648)","(3604, 66, 4905, 1385)"
326,"(199, 1071, 3138, 5021)","(468, 1106, 1662, 2411)"
327,"(94, 679, 3091, 4354)","(562, 702, 1885, 1972)"
328,"(158, 796, 3138, 4740)","(825, 784, 2066, 1984)"
329,"(6, 544, 2909, 4670)","(1452, 550, 2687, 1697)"
330,"(1346, 3137, 2576, 5220)","(1569, 3160, 2242, 4062)"
331,"(1428, 1130, 3648, 5419)","(1499, 1176, 2599, 2862)"
332,"(64, 574, 1493, 5472)","(287, 591, 1516, 2318)"
333,"(1212, 3178, 2646, 5244)","(1300, 3195, 2189, 4155)"
334,"(1504, 609, 3648, 5326)","(1551, 603, 3173, 2177)"
335,"(23, 644, 1323, 5454)","(252, 667, 1405, 2130)"
336,"(954, 3020, 2072, 5250)","(1101, 3026, 2055, 3939)"
337,"(779, 1358, 3648, 5472)","(1259, 1399, 2587, 3055)"
338,"(12, 696, 1522, 5472)","(111, 685, 1522, 2294)"
339,"(919, 2680, 2224, 4758)","(1089, 2716, 2020, 3681)"
340,"(948, 1211, 3648, 5220)","(1703, 1217, 3571, 3026)"
341,"(0, 702, 1218, 5472)","(0, 702, 1235, 2241)"
342,"(849, 2347, 2137, 4419)","(1060, 2370, 1926, 3318)"
343,"(919, 995, 3648, 5039)","(1305, 1211, 2851, 2856)"
344,"(0, 217, 1622, 5408)","(222, 246, 1657, 1797)"
345,"(48, 0, 3648, 5472)","(0, 0, 3323, 3084)"
346,"(2382, 404, 5388, 3648)","(2387, 418, 3745, 1723)"
347,"(2435, 92, 4865, 3648)","(2474, 97, 3815, 1292)"
348,"(2281, 295, 4659, 3648)","(2316, 295, 3622, 1574)"
349,"(322, 544, 3524, 4963)","(849, 574, 2347, 1814)"
350,"(0, 304, 3512, 5408)","(2330, 1024, 3536, 1791)"
351,"(644, 1838, 2119, 5472)","(697, 1826, 1575, 2686)"
352,"(6, 1668, 2950, 5472)","(1586, 1656, 3038, 2920)"
353,"(2514, 2529, 3474, 5233)","(2744, 2529, 3347, 3108)"
354,"(509, 1170, 2084, 4541)","(925, 1188, 1856, 2066)"
355,"(392, 1094, 3648, 4600)","(392, 1487, 1534, 2815)"
356,"(199, 1124, 3648, 4430)","(205, 1832, 1370, 3026)"
357,"(199, 304, 2131, 5472)","(310, 1405, 1130, 2364)"
358,"(0, 1176, 2020, 3453)","(1223, 2037, 2014, 2868)"
359,"(673, 644, 2084, 3160)","(948, 1001, 1744, 1779)"
360,"(0, 773, 2500, 4828)","(948, 1978, 1803, 2868)"
361,"(907, 1586, 2330, 4331)","(1352, 1580, 2183, 2470)"
362,"(509, 714, 3648, 5472)","(509, 720, 2271, 2593)"
363,"(6, 1059, 2664, 5472)","(1493, 1059, 2687, 2142)"
364,"(88, 474, 1885, 5472)","(866, 1633, 1686, 2323)"
365,"(1575, 3787, 3389, 5472)","(2096, 3798, 2921, 4770)"
366,"(562, 1457, 1908, 4501)","(983, 1481, 1832, 2230)"
367,,
368,"(29, 971, 2400, 4735)","(146, 1762, 1030, 2704)"
369,"(164, 3383, 3348, 5472)","(170, 4331, 1499, 5378)"
370,"(1106, 181, 2628, 4618)","(1124, 246, 2148, 1153)"
371,"(252, 1527, 2675, 4038)","(714, 1522, 1627, 2429)"
372,"(1623, 2066, 3648, 5472)","(2183, 2048, 2892, 3219)"
373,"(726, 1451, 2699, 4067)","(1247, 1504, 2178, 2411)"
374,"(12, 1978, 2822, 4934)","(1153, 1990, 2248, 3143)"
375,,
376,"(0, 0, 1633, 2394)","(644, 0, 1610, 591)"
377,"(0, 1188, 3190, 4588)","(1680, 1627, 2880, 2815)"
378,,
379,,
380,"(0, 1633, 1054, 4799)",
381,"(217, 1416, 2628, 5472)","(217, 3154, 1346, 4383)"
382,,
383,,
384,"(0, 1984, 3144, 4770)","(0, 1990, 392, 2675)"
385,"(2031, 585, 3648, 3073)","(2025, 960, 2950, 1984)"
386,,
387,,
388,"(6, 1609, 3648, 4600)","(702, 1639, 1657, 2511)"
389,"(0, 0, 2558, 2528)","(0, 217, 925, 1124)"
390,,
391,,
392,"(29, 3634, 2699, 5472)","(433, 4179, 1317, 5074)"
393,"(0, 6, 2008, 3909)","(1089, 152, 1996, 1194)"
394,,
395,,
396,"(1934, 167, 4936, 3451)","(1943, 167, 2989, 1077)"
397,"(6, 708, 3536, 4811)","(2260, 726, 3530, 2007)"
398,"(2025, 1715, 3641, 4688)",
399,"(246, 1703, 1785, 5472)","(726, 1762, 1487, 2528)"
400,"(1194, 3371, 3635, 5302)","(2418, 3605, 3384, 4524)"
401,"(398, 1645, 1914, 4635)","(942, 1662, 1815, 2622)"
402,"(258, 691, 2786, 5472)","(1686, 1510, 2775, 2645)"
403,"(18, 398, 2429, 5472)","(1282, 1328, 2441, 2511)"
404,"(574, 1416, 2956, 4237)","(1013, 1516, 1832, 2370)"
405,"(135, 538, 3442, 3593)","(193, 1206, 1200, 2154)"
406,"(1557, 2768, 3648, 4805)",
407,"(0, 404, 2792, 5472)","(468, 433, 2049, 1978)"
408,"(574, 574, 3648, 5472)","(615, 591, 2312, 2236)"
409,"(720, 2487, 2137, 5472)","(861, 2517, 1774, 3283)"
410,"(12, 2399, 1926, 4688)","(1341, 2411, 1891, 3137)"
411,"(831, 2259, 2429, 4694)","(1142, 2277, 2031, 3166)"
412,"(535, 617, 3648, 5472)","(580, 624, 1887, 1448)"
413,"(6, 837, 3097, 5472)","(1469, 843, 3079, 3160)"
414,"(1375, 0, 3648, 5472)","(1464, 0, 3143, 936)"
415,"(12, 217, 2786, 5472)","(1130, 199, 2786, 2405)"
416,"(1152, 0, 3648, 5472)","(1308, 0, 3016, 862)"
417,"(6, 164, 3448, 5472)","(1118, 152, 2933, 2417)"
418,"(392, 64, 3648, 5472)","(626, 76, 2909, 2645)"
419,"(0, 942, 2909, 5472)","(585, 925, 2049, 2476)"
420,"(322, 667, 2921, 4512)","(691, 667, 1926, 2095)"
421,"(6, 1264, 1329, 4793)","(0, 1264, 907, 2329)"
422,"(1036, 732, 3648, 5472)","(1065, 737, 3261, 2622)"
423,"(673, 919, 2412, 4454)","(825, 919, 1967, 2083)"
424,"(2236, 193, 3648, 5472)","(2816, 211, 3648, 2025)"
425,"(609, 1018, 3021, 4928)","(907, 1012, 2096, 2136)"
426,"(0, 2710, 878, 4811)",
427,"(743, 9, 5472, 3648)","(2000, 4, 4756, 2831)"
428,"(2637, 4, 5472, 3648)","(4105, 1024, 5358, 2391)"
429,"(2874, 492, 4369, 3521)","(3094, 501, 3973, 1358)"
430,"(1996, 1633, 3302, 3974)","(2025, 1650, 2505, 2236)"
