monkey_id,jpg_id,monkey_name
289,194,Unknown1
290,194,Unknown2
291,195,Unknown1
292,196,0EX
293,196,36J
294,197,DF2I
295,198,Unknown1
296,199,0FL
297,199,46J
298,200,0FL
299,200,46J
300,201,0FL
301,201,46J
302,202,0FL
303,202,46J
304,203,79G
305,204,79G
306,205,79G
307,206,79G
308,207,42K
309,207,68E
310,208,42K
311,208,68E
312,209,42K
313,209,68E
314,210,42K
315,210,68E
316,211,42K
317,211,68E
318,212,144H
319,213,144H
320,214,35Y
321,214,42K
322,214,68E
323,215,35Y
324,215,42K
325,215,68E
326,216,G942
327,217,G942
328,218,G942
329,219,G942
330,220,42K
331,220,68E
332,220,79G
333,221,42K
334,221,68E
335,221,79G
336,222,42K
337,222,68E
338,222,79G
339,223,42K
340,223,68E
341,223,79G
342,224,42K
343,224,68E
344,224,79G
345,225,79G
346,226,G942
347,227,Unknown1
348,228,Unknown1
349,229,G942
350,230,Unknown1
351,231,Unknown1
352,232,Unknown1
353,232,Unknown2
354,233,Unknown1
355,234,Unknown1
356,235,Unknown1
357,236,Unknown1
358,237,Unknown1
359,238,Unknown1
360,239,Unknown1
361,240,134J
362,241,144H
363,242,114J
364,243,114J
365,243,134J
366,244,134J
367,245,134J
368,245,Unknown1
369,245,Unknown2
370,246,Unknown1
371,247,167I
372,247,86I
373,248,167I
374,249,167I
375,249,Unknown1
376,250,114J
377,250,167I
378,250,Unknown1
379,250,Unknown2
380,251,114J
381,251,167I
382,251,Unknown1
383,251,Unknown2
384,252,114J
385,252,167I
386,252,Unknown1
387,252,Unknown2
388,253,114J
389,253,167I
390,253,Unknown1
391,253,Unknown2
392,254,114J
393,254,144H
394,254,Unknown1
395,254,Unknown2
396,255,167I
397,256,Unknown1
398,256,Unknown2
399,257,Unknown1
400,257,Unknown2
401,258,167I
402,259,144H
403,260,144H
404,261,Unknown1
405,262,Unknown1
406,262,Unknown2
407,263,Unknown1
408,264,144H
409,265,Unknown1
410,266,Unknown1
411,267,Unknown1
412,268,35Y
413,268,49Y
414,269,35Y
415,269,49Y
416,270,35Y
417,270,49Y
418,271,35Y
419,272,59E
420,273,48Z
421,274,58I
422,274,DF2I
423,275,58I
424,275,DF2I
425,276,DF2I
426,276,Unknown1
427,277,DF2I
428,278,DF2I
429,279,37I
430,280,26J
431,280,DF2I
432,281,DF2I
433,282,DF2I
434,283,37I
435,284,37I
436,284,DF2I
437,285,37I
438,285,DF2I
439,286,37I
440,286,DF2I
441,287,37I
442,288,37I
443,289,37I
444,290,37I
445,291,26J
446,292,DF2I
447,293,26J
448,294,26J
449,294,68Y
450,295,0EX
451,295,36J
452,296,0EX
453,296,36J
454,297,DF2I
455,297,Unknown1
456,298,DF2I
457,299,0EX
458,299,36J
459,300,68Y
460,300,Unknown1
461,301,26J
462,302,94B
463,303,87J
464,304,81G
465,305,81G
466,306,143H
467,307,110E
468,307,Unknown1
469,308,110E
470,308,Unknown1
471,309,7124
472,310,81G
473,311,Unknown1
474,312,143H
475,313,143H
476,314,69X
477,315,143H
478,315,72X
479,316,143H
480,316,72X
481,316,81G
482,316,Unknown1
483,317,58I
484,318,58I
485,319,36J
486,320,36J
487,321,DF2I
488,322,58I
489,323,Unknown1
490,324,Unknown1
491,325,86I
492,326,Unknown1
493,327,48Z
494,327,79G
495,327,Unknown1
496,328,35Y
497,329,G942
498,330,G942
499,331,42K
500,331,68E
501,331,70G
502,332,49Y
503,333,49Y
504,334,86I
505,335,59E
506,336,G942
507,337,Unknown1
508,338,70G
509,339,42Z
510,340,35Y
511,341,167I
512,342,Unknown1
513,343,58I
514,344,58I
515,345,58I
516,346,58I
517,347,58I
518,348,58I
519,349,58I
520,350,94B
521,351,81G
522,352,Unknown1
523,353,72X
524,354,72X
525,355,143H
526,355,Unknown1
527,356,69X
528,357,87J
529,357,94B
530,358,143H
531,359,110E
532,359,151J
533,360,110E
534,360,151J
535,361,81G
536,362,81G
537,363,69X
538,364,0FL
539,364,40J
540,364,46J
541,365,0FL
542,365,46J
543,366,DF2I
544,367,DF2I
545,367,Unknown1
546,368,DF2I
547,368,Unknown1
548,369,DF2I
549,370,68Y
550,370,DF2I
551,371,DF2I
552,372,DF2I
553,373,37I
554,374,37I
555,375,37I
556,376,37I
557,377,37I
558,378,37I
559,379,37I
560,380,68Y
561,381,26J
562,381,68Y
563,382,68Y
564,383,26J
565,383,68Y
566,384,26J
567,384,68Y
568,385,26J
569,385,68Y
570,386,DF2I
571,387,58I
572,388,0FL
573,388,46J
574,389,0FL
575,389,46J
576,390,58I
577,391,58I
578,392,0FL
579,392,46J
580,393,0FL
581,393,46J
582,394,0FL
583,394,46J
584,395,DF2I
585,396,DF2I
586,397,26J
587,397,68Y
588,398,26J
589,398,68Y
590,399,26J
591,399,68Y
592,400,26J
593,400,68Y
594,401,26J
595,401,68Y
596,402,26J
597,402,68Y
598,403,0FL
599,403,46J
600,403,58I
601,404,0FL
602,404,46J
603,404,58I
604,405,0FL
605,405,46J
606,405,58I
607,406,0FL
608,406,46J
609,406,58I
610,407,DF2I
611,408,DF2I
612,409,DF2I
613,410,0EX
614,410,Unknown1
615,411,0EX
616,411,Unknown1
617,412,0EX
618,412,36J
619,413,0EX
620,413,0FL
621,413,46J
622,414,0EX
623,414,40J
624,415,0EX
625,415,40J
626,416,0EX
627,416,40J
628,417,0EX
629,417,40J
630,418,58I
631,419,58I
632,420,58I
633,421,58I
634,422,58I
635,423,58I
636,424,58I
637,424,Unknown1
638,425,09X
639,426,09X
640,427,09X
641,427,40J
642,428,09X
643,428,40J
644,429,09X
645,429,40J
646,430,09X
647,430,40J
648,431,09X
649,431,40J
650,432,09X
651,433,09X
652,434,09X
653,435,09X
654,436,26J
655,436,36J
656,437,36J
657,438,26J
658,438,36J
659,439,26J
660,439,36J
661,440,26J
662,440,36J
663,441,35Y
664,441,59E
665,442,167I
666,443,79G
667,444,79G
668,445,79G
669,446,42K
670,446,68E
671,446,Unknown1
672,447,42K
673,447,68E
674,447,Unknown1
675,448,42K
676,448,68E
677,449,79G
678,450,79G
679,451,58K
680,451,70G
681,452,58K
682,452,70G
683,453,58K
684,453,70G
685,453,79G
686,454,Unknown1
687,454,Unknown2
688,455,Unknown1
689,456,167I
690,457,59E
691,458,59E
692,459,59E
693,460,59E
694,461,Unknown1
695,462,134J
696,462,59E
697,463,134J
698,463,59E
699,464,59E
700,465,58K
701,465,70G
702,466,58K
703,466,70G
704,467,134J
705,468,134J
706,469,134J
707,469,59E
708,470,Unknown1
709,471,Unknown1
710,472,Unknown1
711,473,79G
712,474,167I
713,475,G942
714,476,48Z
715,477,48Z
716,478,48Z
717,479,42Z
718,480,42Z
719,481,35Y
720,481,49Y
721,482,35Y
722,482,49Y
723,483,35Y
724,483,49Y
725,484,35Y
726,484,49Y
727,485,35Y
728,485,Unknown1
729,486,35Y
730,487,G942
731,488,G942
732,489,167I
733,490,167I
734,491,167I
735,491,Unknown1
736,492,101G
737,493,101G
738,494,101G
739,495,101G
740,496,101G
741,497,101G
742,498,101G
743,499,101G
744,500,68F
745,501,68F
746,502,68F
747,503,101G
748,504,101G
749,505,68F
750,506,68F
751,507,68F
752,508,68F
753,509,68F
754,510,68F
755,511,68F
756,512,101G
757,513,101G
758,514,68F
759,515,101G
760,516,101G
761,517,101G
762,518,101G
763,519,101G
764,520,G701
765,521,G942
766,522,49Y
767,522,Unknown1
768,523,59E
769,523,Unknown1
770,524,59E
771,524,Unknown1
772,525,86I
773,526,86I
774,527,35Y
775,527,49Y
776,527,79G
777,528,35Y
778,528,49Y
779,528,79G
780,529,35Y
781,529,49Y
782,529,79G
783,530,Unknown1
784,531,86I
785,532,42K
786,532,68E
787,532,79G
788,533,42K
789,533,68E
790,533,79G
791,534,49Y
792,534,58K
793,534,70G
794,534,Unknown1
795,535,49Y
796,535,58K
797,535,70G
798,536,49Y
799,536,58K
800,536,70G
801,537,42K
802,537,49Y
803,537,68E
804,537,79G
805,538,42K
806,538,42Z
807,539,G942
808,540,G942
809,541,Unknown1
810,542,Unknown1
811,543,Unknown1
812,544,Unknown1
813,544,Unknown2
814,545,Unknown1
815,545,Unknown2
816,546,Unknown1
817,547,Unknown1
818,547,Unknown2
819,548,Unknown1
820,548,Unknown2
821,549,Unknown1
822,549,Unknown2
823,550,79G
824,550,Unknown1
825,551,79G
826,551,Unknown1
827,551,Unknown2
828,552,167I
829,552,79G
830,553,79G
831,553,Unknown1
832,553,Unknown2
833,554,79G
834,554,Unknown1
835,555,79G
836,555,Unknown1
837,556,79G
838,556,Unknown1
839,557,79G
840,557,Unknown1
841,558,Unknown1
842,559,Unknown1
843,560,79G
844,561,79G
845,562,79G
846,563,79G
847,563,Unknown1
848,564,79G
849,564,Unknown1
850,565,79G
851,565,Unknown1
852,566,79G
853,566,Unknown1
854,567,79G
855,568,59E
856,569,59E
857,570,59E
858,571,59E
859,571,Unknown1
860,572,59E
861,572,Unknown1
862,573,59E
863,574,59E
864,575,59E
865,575,Unknown1
866,576,59E
867,576,Unknown1
868,577,59E
869,577,Unknown1
870,578,79G
871,578,Unknown1
872,579,79G
873,579,Unknown1
874,580,42Z
875,580,48Z
876,581,Unknown1
877,582,134J
878,582,59E
879,583,134J
880,583,59E
881,584,134J
882,584,59E
883,585,134J
884,585,167I
885,586,134J
886,586,167I
887,587,134J
888,587,167I
889,588,59E
890,588,Unknown1
891,589,59E
892,589,Unknown1
893,590,G942
894,591,Unknown1
895,592,143H
896,592,69X
897,593,143H
898,593,69X
899,594,94B
900,595,94B
901,596,143H
902,597,94B
903,598,143H
904,598,69X
905,599,143H
906,599,69X
907,600,110E
908,601,110E
909,602,110E
910,603,94B
911,604,69X
912,605,69X
913,606,69X
914,607,143H
915,607,67G
916,608,143H
917,608,67G
918,609,143H
919,610,Unknown1
920,611,Unknown1
921,612,Unknown1
922,613,Unknown1
923,614,Unknown1
924,615,Unknown1
925,616,94B
926,617,94B
927,618,69X
928,619,69X
929,620,69X
930,621,69X
931,622,69X
932,623,G701
933,624,68F
934,625,G701
935,626,101G
936,627,68F
937,628,68F
938,629,14F
939,630,14F
940,631,68F
941,632,68F
942,633,68F
943,634,101G
944,635,101G
945,636,101G
946,637,101G
947,638,101G
948,639,101G
949,640,101G
950,641,19J
951,642,19J
952,643,G701
953,644,G701
954,645,G701
955,646,14F
956,647,G701
957,648,14F
958,649,G701
959,650,14F
960,651,14F
961,651,19J
962,652,14F
963,652,19J
964,653,19J
965,654,G701
966,655,G701
967,656,68F
968,657,101G
969,658,101G
970,659,14F
971,659,19J
972,660,14F
973,660,19J
974,661,14F
975,661,19J
976,662,110E
977,662,151J
978,663,151J
979,664,7124
980,664,Unknown1
981,665,110E
982,665,151J
983,666,59K
984,666,81G
985,667,59K
986,667,81G
987,668,110E
988,668,151J
989,668,7124
990,669,110E
991,669,151J
992,669,7124
993,670,110E
994,670,151J
995,670,7124
996,671,110E
997,671,7124
998,672,110E
999,672,7124
1000,673,110E
1001,673,7124
1002,674,110E
1003,674,7124
1004,675,110E
1005,675,7124
1006,676,110E
1007,676,151J
1008,676,7124
1009,677,110E
1010,677,7124
1011,678,110E
1012,678,7124
1013,679,87J
1014,679,94B
1015,680,87J
1016,680,94B
1017,681,110E
1018,681,151J
1019,681,7124
1020,682,110E
1021,682,151J
1022,682,7124
1023,683,167I
1024,684,167I
1025,685,167I
1026,686,167I
1027,687,134J
1028,687,59E
1029,688,134J
1030,688,59E
1031,689,134J
1032,689,59E
1033,690,134J
1034,690,59E
1035,691,58K
1036,691,70G
1037,692,58K
1038,692,70G
1039,693,58K
1040,693,70G
1041,694,58K
1042,694,70G
1043,695,48Z
1044,696,48Z
1045,697,58K
1046,697,70G
1047,698,134J
1048,698,58K
1049,698,70G
1050,699,58K
1051,699,70G
1052,700,58K
1053,700,70G
1054,701,49Y
1055,702,49Y
1056,703,35Y
1057,704,59E
1058,705,59E
1059,706,Unknown1
1060,706,Unknown2
1061,707,167I
1062,708,Unknown1
1063,708,Unknown2
1064,709,Unknown1
1065,710,35Y
1066,710,68E
1067,711,35Y
1068,711,68E
1069,712,42K
1070,712,68E
1071,713,42K
1072,713,68E
1073,714,79G
1074,714,Unknown1
1075,715,79G
1076,715,Unknown1
1077,716,86I
1078,717,Unknown1
1079,718,167I
1080,719,167I
1081,720,167I
1082,721,167I
1083,722,167I
1084,723,Unknown1
1085,724,Unknown1
1086,725,Unknown1
1087,726,Unknown1
1088,727,Unknown1
1089,728,Unknown1
1090,729,Unknown1
1091,730,Unknown1
1092,730,Unknown2
1093,731,59E
1094,732,59E
1095,732,Unknown1
1096,733,167I
1097,734,Unknown1
1098,735,Unknown1
1099,736,Unknown1
1100,737,Unknown1
1101,738,Unknown1
1102,739,Unknown1
1103,740,Unknown1
1104,740,Unknown2
1105,741,Unknown1
1106,741,Unknown2
1107,742,58K
1108,742,70G
1109,743,58K
1110,743,70G
1111,744,Unknown1
1112,744,Unknown2
1113,745,Unknown1
1114,746,59E
1115,746,Unknown1
1116,747,59E
1117,748,59E
1118,749,59E
1119,750,42K
1120,750,49Y
1121,750,68E
1122,751,42K
1123,751,49Y
1124,751,68E
1125,752,167I
1126,752,79G
1127,753,167I
1128,754,167I
1129,755,167I
1130,756,167I
1131,757,167I
1132,758,167I
1133,759,167I
1134,759,86I
1135,760,167I
1136,760,86I
1137,761,167I
1138,761,Unknown1
1139,762,167I
1140,763,49Y
1141,763,58K
1142,763,70G
1143,764,49Y
1144,764,58K
1145,764,70G
1146,765,49Y
1147,765,58K
1148,765,70G
1149,766,49Y
1150,766,58K
1151,766,70G
1152,767,42K
1153,767,68E
1154,767,79G
1155,768,42K
1156,768,68E
1157,768,79G
1158,769,42K
1159,769,68E
1160,769,79G
1161,770,42K
1162,770,68E
1163,770,79G
1164,771,42K
1165,771,68E
1166,771,79G
1167,772,42K
1168,772,68E
1169,772,79G
1170,773,42K
1171,773,68E
1172,773,79G
1173,774,42K
1174,774,68E
1175,774,79G
1176,775,42K
1177,775,68E
1178,775,79G
1179,776,42K
1180,776,68E
1181,776,79G
1182,777,42K
1183,777,68E
1184,777,79G
1185,778,42K
1186,778,68E
1187,778,79G
1188,779,42K
1189,779,68E
1190,779,79G
1191,780,42K
1192,780,68E
1193,780,79G
1194,780,Unknown1
1195,781,58K
1196,781,59E
1197,781,70G
1198,782,58K
1199,782,59E
1200,782,70G
1201,783,58K
1202,783,59E
1203,783,70G
1204,784,59E
1205,784,Unknown1
1206,785,48Z
1207,786,48Z
1208,787,79G
1209,788,79G
1210,789,79G
1211,790,19J
1212,791,19J
1213,792,68F
1214,793,68F
1215,794,101G
1216,795,14F
1217,796,19J
1218,797,68F
1219,798,G701
1220,798,Unknown1
1221,799,14F
1222,800,14F
1223,801,101G
1224,802,101G
1225,803,14F
1226,803,19J
1227,804,14F
1228,804,19J
1229,805,G701
1230,806,19J
1231,807,101G
1232,807,14F
1233,808,101G
1234,808,14F
1235,809,14F
1236,810,101G
1237,810,14F
1238,811,101G
1239,811,14F
1240,812,68F
1241,813,101G
1242,814,19J
1243,815,19J
1244,816,143H
1245,817,143H
1246,818,59K
1247,818,81G
1248,819,69X
1249,820,94B
1250,821,143H
1251,821,69X
1252,822,143H
1253,823,143H
1254,824,69X
1255,825,143H
1256,826,69X
1257,827,69X
1258,828,143H
1259,829,143H
1260,829,69X
1261,830,69X
1262,831,87J
1263,831,94B
1264,832,87J
1265,832,94B
1266,833,87J
1267,833,94B
1268,834,72X
1269,835,143H
1270,835,69X
1271,836,110E
1272,836,143H
1273,836,69X
1274,837,143H
1275,837,69X
1276,838,143H
1277,838,69X
1278,839,143H
1279,839,69X
1280,840,59K
1281,840,81G
1282,841,143H
1283,842,94B
1284,843,94B
1285,844,72X
1286,845,72X
1287,845,Unknown1
1288,846,72X
1289,847,87J
1290,847,94B
1291,848,87J
1292,848,94B
1293,849,87J
1294,849,94B
1295,850,87J
1296,850,94B
1297,851,67G
1298,852,67G
1299,853,151J
1300,853,67G
1301,854,67G
1302,855,67G
1303,856,151J
1304,856,Unknown1
1305,857,151J
1306,857,67G
1307,858,143H
1308,858,Unknown1
1309,859,59K
1310,859,81G
1311,860,59K
1312,860,81G
1313,861,59K
1314,861,69X
1315,861,81G
1316,862,69X
1317,862,Unknown1
1318,863,69X
1319,864,Unknown1
1320,865,Unknown1
1321,865,Unknown2
1322,866,143H
1323,866,72X
1324,867,59K
1325,867,81G
1326,868,Unknown1
1327,869,59K
1328,869,81G
1329,870,59K
1330,870,81G
1331,871,59K
1332,871,81G
1333,872,59K
1334,872,81G
1335,873,59K
1336,873,81G
1337,874,69X
1338,875,143H
1339,875,69X
1340,876,143H
1341,876,69X
1342,877,143H
1343,878,143H
1344,879,143H
1345,880,69X
1346,881,110E
1347,882,69X
1348,883,110E
1349,883,7124
1350,884,7124
1351,885,110E
1352,885,7124
1353,886,110E
1354,886,7124
1355,887,110E
1356,887,7124
1357,888,94B
1358,889,69X
1359,889,94B
1360,890,69X
1361,890,94B
1362,891,69X
1363,891,94B
1364,892,69X
1365,893,143H
1366,894,143H
1367,895,143H
1368,896,143H
1369,897,143H
1370,898,143H
1371,899,143H
1372,900,143H
1373,901,143H
1374,902,143H
1375,903,143H
1376,904,143H
1377,905,143H
1378,906,69X
1379,907,59K
1380,907,81G
1381,908,110E
1382,908,7124
1383,909,110E
1384,909,7124
1385,910,110E
1386,910,7124
1387,911,110E
1388,911,7124
1389,912,110E
1390,912,7124
1391,913,59K
1392,913,72X
1393,913,81G
1394,914,59K
1395,914,72X
1396,914,81G
1397,915,151J
1398,915,87J
1399,915,Unknown1
1400,915,Unknown2
1401,916,143H
1402,916,69X
1403,917,143H
1404,917,69X
1405,918,143H
1406,918,69X
1407,919,143H
1408,919,69X
1409,920,143H
1410,920,69X
1411,921,143H
1412,921,69X
1413,922,143H
1414,922,69X
1415,923,143H
1416,923,69X
1417,924,143H
1418,924,69X
1419,925,151J
1420,926,151J
1421,926,87J
1422,926,Unknown1
1423,926,Unknown2
1424,927,151J
1425,927,87J
1426,927,Unknown1
1427,927,Unknown2
1428,928,151J
1429,928,87J
1430,928,Unknown1
1431,928,Unknown2
1432,929,72X
1433,930,69X
1434,930,94B
1435,931,143H
1436,931,69X
1437,932,143H
1438,933,143H
1439,934,69X
1440,935,Unknown1
1441,936,Unknown1
1442,937,Unknown1
1443,938,143H
1444,939,86I
1445,940,86I
1446,941,G942
1447,942,42Z
1448,943,42Z
1449,944,35Y
1450,945,35Y
1451,946,58K
1452,946,70G
1453,947,58K
1454,947,70G
1455,948,58K
1456,948,70G
1457,949,59E
1458,950,59E
1459,951,59E
1460,952,58K
1461,952,70G
1462,953,35Y
1463,954,49Y
1464,955,Unknown1
1465,956,Unknown1
1466,957,58K
1467,957,70G
1468,958,58K
1469,958,70G
1470,958,Unknown1
1471,959,09X
1472,960,09X
1473,961,0EX
1474,961,67K
1475,962,0EX
1476,962,67K
1477,963,0EX
1478,963,67K
1479,964,0EX
1480,964,67K
1481,965,37I
1482,966,37I
1483,967,09X
1484,967,0EX
1485,968,09X
1486,968,0EX
1487,969,68Y
1488,970,26J
1489,970,68Y
1490,971,68Y
1491,972,0EX
1492,972,67K
1493,973,26J
1494,974,26J
1495,975,09X
1496,976,09X
1497,977,09X
1498,978,26J
1499,979,26J
1500,980,68Y
1501,981,0EX
1502,981,67K
1503,982,36J
1504,983,36J
1505,983,68Y
1506,984,0EX
1507,984,67K
1508,985,37I
1509,986,37I
1510,987,58I
1511,988,58I
1512,989,58I
1513,990,G701
1514,991,19J
1515,992,19J
1516,993,129K
1517,993,72X
1518,993,Unknown1
1519,994,129K
1520,994,Unknown1
1521,994,Unknown2
1522,995,129K
1523,995,Unknown1
1524,995,Unknown2
1525,996,72X
1526,997,129K
1527,997,72X
1528,997,Unknown1
1529,998,129K
1530,998,72X
1531,998,Unknown1
1532,999,129K
1533,999,72X
1534,999,Unknown1
1535,1000,Unknown1
1536,1001,110E
1537,1001,151J
1538,1002,87J
1539,1002,94B
1540,1003,87J
1541,1003,94B
1542,1004,35Y
1543,1005,35Y
1544,1006,0FL
1545,1006,46J
1546,1006,Unknown1
1547,1007,09X
1548,1007,Unknown1
1549,1008,G942
1550,1009,86I
1551,1010,86I
1552,1011,86I
1553,1012,58K
1554,1012,70G
1555,1012,Unknown1
1556,1013,59E
1557,1014,59E
1558,1014,Unknown1
1559,1014,Unknown2
1560,1015,86I
1561,1015,Unknown1
1562,1016,86I
1563,1016,Unknown1
1564,1017,48Z
1565,1017,58K
1566,1017,70G
1567,1018,114J
1568,1019,114J
1569,1020,35Y
1570,1021,Unknown1
1571,1021,Unknown2
1572,1022,Unknown1
1573,1022,Unknown2
1574,1023,Unknown1
1575,1024,42K
1576,1024,68E
1577,1025,42Z
1578,1025,86I
1579,1026,42Z
1580,1026,86I
1581,1027,42Z
1582,1027,86I
1583,1028,42Z
1584,1028,86I
1585,1029,42Z
1586,1029,86I
1587,1030,42Z
1588,1030,86I
1589,1031,42Z
1590,1031,86I
1591,1032,G942
1592,1033,59E
1593,1034,35Y
1594,1035,35Y
1595,1036,35Y
1596,1036,Unknown1
1597,1037,59E
1598,1038,59E
1599,1039,167I
1600,1040,167I
1601,1040,42Z
1602,1041,167I
1603,1041,42Z
1604,1042,79G
1605,1043,79G
1606,1044,Unknown1
1607,1045,167I
1608,1045,Unknown1
1609,1046,167I
1610,1047,167I
1611,1048,58K
1612,1048,70G
1613,1049,58K
1614,1049,70G
1615,1050,86I
1616,1051,86I
1617,1052,42Z
1618,1052,Unknown1
1619,1053,Unknown1
1620,1054,59E
1621,1054,Unknown1
1622,1055,35Y
1623,1055,Unknown1
1624,1055,Unknown2
1625,1056,35Y
1626,1056,Unknown1
1627,1057,35Y
1628,1057,Unknown1
1629,1058,35Y
1630,1058,Unknown1
1631,1059,35Y
1632,1060,35Y
1633,1060,Unknown1
1634,1061,58K
1635,1061,79G
1636,1062,70G
1637,1063,70G
1638,1064,49Y
1639,1064,58K
1640,1064,70G
1641,1064,79G
1642,1065,49Y
1643,1065,58K
1644,1065,70G
1645,1065,79G
1646,1066,49Y
1647,1066,79G
1648,1067,49Y
1649,1067,79G
1650,1068,86I
1651,1069,86I
1652,1070,86I
1653,1071,49Y
1654,1071,79G
1655,1072,86I
1656,1073,49Y
1657,1073,79G
1658,1073,Unknown1
1659,1074,49Y
1660,1074,79G
1661,1075,49Y
1662,1075,79G
1663,1076,49Y
1664,1076,79G
1665,1077,49Y
1666,1077,79G
1667,1078,58K
1668,1078,70G
1669,1079,58K
1670,1079,70G
1671,1080,58K
1672,1080,70G
1673,1081,42K
1674,1081,68E
1675,1082,42K
1676,1082,68E
1677,1083,42K
1678,1083,68E
1679,1084,42K
1680,1084,68E
1681,1085,G942
1682,1086,134J
1683,1086,59E
1684,1087,134J
1685,1087,59E
1686,1088,134J
1687,1088,59E
1688,1089,134J
1689,1089,59E
1690,1090,134J
1691,1090,59E
1692,1091,134J
1693,1091,59E
1694,1092,114J
1695,1093,114J
1696,1094,134J
1697,1094,59E
1698,1095,114J
1699,1096,114J
1700,1097,134J
1701,1097,59E
1702,1098,134J
1703,1098,59E
1704,1099,114J
1705,1100,114J
1706,1101,134J
1707,1101,59E
1708,1102,114J
1709,1103,114J
1710,1104,114J
1711,1105,114J
1712,1105,35Y
1713,1105,42K
1714,1105,68E
1715,1106,114J
1716,1106,35Y
1717,1106,42K
1718,1106,68E
