jpg_id,monkey_name,coordinates,body_part
17,72X,"(0.086764, 0.029619, 0.933238, 0.558533)",Face
18,67G,"(0.330125, 0.059238, 0.770291, 0.331453)",Face
18,67G,"(0.101577, 0.057828, 0.9755609999999999, 0.9746119999999999)",Body
19,67G,"(0.27722, 0.10860399999999999, 0.9988389999999999, 0.963329)",Body
19,67G,"(0.408424, 0.12129799999999999, 0.812615, 0.393512)",Face
20,143H,"(0.006349, 0.045529, 0.857055, 1.0)",Body
20,143H,"(0.28356899999999996, 0.045134, 0.8422419999999999, 0.409027)",Face
21,143H,"(0.008465, 0.007052, 0.9417019999999999, 1.0)",Body
21,143H,"(0.40207499999999996, 0.008463, 0.929005, 0.380818)",Face
22,143H,"(0.0, 0.0, 0.945935, 0.988717)",Body
22,143H,"(0.45074699999999995, 0.0, 0.9586319999999999, 0.324401)",Face
23,143H,"(0.005423, 0.0, 0.8915400000000001, 1.0)",Body
23,143H,"(0.406725, 0.0, 0.907809, 0.561368)",Face
24,143H,"(0.281453, 0.040902999999999995, 0.789337, 0.372355)",Face
24,143H,"(0.0, 0.023977, 0.945935, 1.0)",Body
25,67G,"(0.378797, 0.13822299999999998, 0.755478, 0.410437)",Face
25,67G,"(0.006349, 0.111425, 0.850706, 1.0)",Body
26,67G,"(0.33859, 0.122708, 0.727968, 0.40197499999999997)",Face
26,67G,"(0.055021, 0.10155099999999999, 0.791453, 1.0)",Body
27,72X,"(0.124855, 0.0, 0.931121, 0.468265)",Face
27,72X,"(0.004232, 0.0028209999999999997, 1.0, 1.0)",Body
28,72X,"(0.20527, 0.0056419999999999994, 0.9607479999999999, 0.48237)",Face
28,72X,"(0.0, 0.012693999999999999, 1.0, 1.0)",Body
29,69X,"(0.266639, 0.188999, 0.895146, 0.592384)",Face
29,69X,"(0.0, 0.17771499999999998, 0.926889, 1.0)",Body
30,69X,"(0.192573, 0.102962, 0.835893, 0.51481)",Face
30,69X,"(0.004232, 0.10437199999999999, 0.846474, 1.0)",Body
31,87J,"(0.13472499999999998, 0.497884, 1.0, 1.0)",Body
31,87J,"(0.565021, 0.499295, 0.907843, 0.7461209999999999)",Face
31,94B,"(0.0, 0.07757399999999999, 0.950167, 0.874471)",Body
31,94B,"(0.440166, 0.08885799999999999, 0.888798, 0.37799699999999997)",Face
32,94B,"(0.505768, 0.139633, 0.9586319999999999, 0.403385)",Face
32,94B,"(0.035975, 0.126939, 1.0, 0.980254)",Body
33,94B,"(0.41265599999999997, 0.098731, 0.8803329999999999, 0.396333)",Face
33,94B,"(0.0, 0.107193, 0.933238, 0.954866)",Body
34,14F,"(0.17141099999999998, 0.181946, 0.584067, 0.45839199999999997)",Face
34,14F,"(0.093112, 0.17771499999999998, 1.0, 1.0)",Body
35,19J,"(0.28356899999999996, 0.365303, 0.54386, 0.531735)",Face
35,19J,"(0.266639, 0.35543, 0.70469, 0.878702)",Body
36,101G,"(0.006349, 0.0, 1.0, 0.8349789999999999)",Face
37,101G,"(0.0, 0.0, 1.0, 0.877292)",Face
38,14F,"(0.190457, 0.125529, 1.0, 0.877292)",Body
38,14F,"(0.19680499999999998, 0.12976000000000001, 0.600997, 0.359661)",Face
39,68F,"(0.890914, 0.455571, 1.0, 0.9520449999999999)",Body
39,G701,"(0.194689, 0.262341, 0.537511, 0.479549)",Face
39,G701,"(0.008465, 0.255289, 0.852823, 0.90268)",Body
40,68F,"(0.560789, 0.300423, 0.852823, 0.51763)",Face
40,68F,"(0.131203, 0.307475, 0.852823, 1.0)",Body
40,G701,"(0.0, 0.541608, 0.11639000000000001, 0.9675600000000001)",Body
41,68F,"(0.778756, 0.31875899999999996, 1.0, 1.0)",Body
41,G701,"(0.266639, 0.275035, 0.620042, 0.49365299999999995)",Face
41,G701,"(0.002116, 0.266573, 0.774524, 0.9619179999999999)",Body
42,14F,"(0.078299, 0.102962, 1.0, 0.9153739999999999)",Body
42,14F,"(0.349171, 0.102962, 0.857055, 0.445698)",Face
43,14F,"(0.29203399999999996, 0.078984, 0.7681749999999999, 0.396333)",Face
43,14F,"(0.006349, 0.086037, 0.9417019999999999, 0.911142)",Body
44,14F,"(0.357635, 0.142454, 0.799918, 0.454161)",Face
44,14F,"(0.025394, 0.091678, 0.971329, 0.9252469999999999)",Body
45,14F,"(0.46767699999999995, 0.255289, 0.8231959999999999, 0.48942199999999997)",Face
45,14F,"(0.46132799999999996, 0.262341, 1.0, 0.9478139999999999)",Body
45,19J,"(0.156598, 0.26093099999999997, 0.40419099999999997, 0.425952)",Face
45,19J,"(0.152365, 0.24823699999999999, 0.529046, 0.7334269999999999)",Body
46,110E,"(0.257757, 0.003581, 0.902944, 1.0)",Body
46,110E,"(0.25934799999999997, 0.0, 0.578361, 0.352084)",Face
46,151J,"(0.072395, 0.509626, 0.45187000000000005, 1.0)",Body
46,151J,"(0.195704, 0.500078, 0.453461, 0.815163)",Face
46,Unknown,"(0.728653, 0.0, 1.0, 1.0)",Body
47,7124,"(0.06988000000000001, 0.034612, 0.8512329999999999, 1.0)",Face
47,7124,"(0.0032129999999999997, 0.038560000000000004, 0.889157, 1.0)",Body
48,110E,"(0.235888, 0.22994699999999998, 0.736548, 0.57754)",Face
48,110E,"(0.003209, 0.224599, 0.734943, 1.0)",Body
48,151J,"(0.362658, 0.6524059999999999, 0.7028500000000001, 0.916578)",Face
48,151J,"(0.356239, 0.6470589999999999, 0.709268, 1.0)",Body
49,7124,"(0.170281, 0.104836, 0.968675, 1.0)",Body
49,7124,"(0.255422, 0.110861, 0.506827, 0.8290449999999999)",Face
50,49Y,"(0.262407, 0.1622, 0.6094609999999999, 0.455571)",Face
50,49Y,"(0.165062, 0.16079000000000002, 0.753362, 1.0)",Body
50,Unknown,"(0.2, 0.24052, 0.267391, 0.340495)",Face
50,Unknown,"(0.184783, 0.250662, 0.8326089999999999, 0.980914)",Body
50,Unknown1,,
51,49Y,"(0.20058499999999999, 0.12192499999999999, 0.903434, 1.0)",Body
51,49Y,"(0.264772, 0.114439, 0.62743, 0.403209)",Face
51,79G,"(0.5118929999999999, 0.055615, 0.844061, 0.285561)",Face
51,79G,"(0.497451, 0.050267, 0.847271, 0.500535)",Body
52,49Y,"(0.39475099999999996, 0.26631000000000005, 0.824805, 0.527273)",Face
52,49Y,"(0.162073, 0.26738, 0.8376429999999999, 1.0)",Body
52,79G,"(0.23749299999999998, 0.134759, 0.5728700000000001, 0.33369000000000004)",Face
52,79G,"(0.224655, 0.13048099999999999, 0.834433, 0.9508019999999999)",Body
53,68E,"(0.276005, 0.285561, 0.653104, 0.513369)",Face
53,68E,"(0.15084, 0.291979, 0.921086, 1.0)",Body
54,167I,"(0.290447, 0.541176, 0.569661, 0.7176469999999999)",Face
54,167I,"(0.208608, 0.544385, 0.625825, 1.0)",Body
54,86I,"(0.370681, 0.336898, 0.659523, 0.500535)",Face
54,86I,"(0.359448, 0.339037, 1.0, 1.0)",Body
55,79G,"(0.14763, 0.027807, 0.736548, 0.452406)",Face
55,79G,"(0.144421, 0.033155, 1.0, 1.0)",Body
56,134J,"(0.187747, 0.420321, 0.543986, 0.9112300000000001)",Body
56,134J,"(0.21181799999999998, 0.412834, 0.492637, 0.582888)",Face
56,59E,"(0.144421, 0.20107000000000003, 0.8777600000000001, 0.9475939999999999)",Face
56,59E,"(0.308098, 0.19572199999999998, 0.64829, 0.413904)",Body
57,134J,"(0.359104, 0.5777639999999999, 0.5375719999999999, 0.853096)",Face
57,134J,"(0.35404599999999997, 0.575596, 0.561416, 1.0)",Body
57,167I,"(0.092486, 0.164766, 0.279624, 0.524648)",Face
57,35Y,,
57,59E,"(0.432081, 0.20920899999999998, 0.6676300000000001, 0.548496)",Face
57,59E,"(0.32297699999999996, 0.21137699999999998, 0.822977, 1.0)",Body
58,167I,"(0.18293299999999998, 0.054544999999999996, 0.8922019999999999, 0.626738)",Face
58,167I,"(0.0016049999999999999, 0.0, 1.0, 1.0)",Body
59,68E,"(0.176515, 0.002139, 1.0, 0.674866)",Face
59,68E,"(0.0, 0.002139, 1.0, 1.0)",Body
60,Unknown,"(0.467391, 0.0, 0.615217, 0.11301499999999999)",Body
60,Unknown,"(0.291304, 0.308618, 0.526087, 0.45061199999999996)",Face
60,Unknown,"(0.22608699999999998, 0.302823, 0.680435, 0.7331500000000001)",Body
60,Unknown1,,
60,Unknown2,,
61,167I,"(0.008022999999999999, 0.164706, 0.523125, 0.5754009999999999)",Face
61,167I,"(0.0, 0.002139, 1.0, 1.0)",Body
62,68E,"(0.14763, 0.18823499999999999, 0.8970159999999999, 0.660963)",Face
62,68E,"(0.141212, 0.185027, 1.0, 1.0)",Body
63,79G,"(0.215027, 0.2, 0.970831, 0.7390369999999999)",Face
63,79G,"(0.0, 0.050267, 1.0, 1.0)",Body
64,167I,"(0.49584599999999995, 0.18395699999999998, 0.945156, 0.527273)",Face
64,167I,"(0.003209, 0.002139, 0.946761, 1.0)",Body
64,Unknown,"(0.0, 0.904813, 0.42042599999999997, 1.0)",Face
64,Unknown,"(0.364262, 0.559358, 0.712478, 1.0)",Body
64,Unknown,"(0.42524000000000006, 0.662032, 0.6515000000000001, 0.826738)",Face
64,Unknown1,,
64,Unknown2,,
65,59E,"(0.300075, 0.279144, 0.707664, 0.522995)",Face
65,59E,"(0.0, 0.277005, 0.885783, 1.0)",Body
65,Unknown,"(0.0, 0.35401099999999996, 0.22786399999999998, 0.712299)",Body
65,Unknown1,,
66,134J,"(0.507079, 0.344385, 0.770246, 0.515508)",Face
66,134J,"(0.195771, 0.34973299999999996, 0.767037, 0.908021)",Body
66,59E,"(0.33056399999999997, 0.135829, 0.678779, 0.339037)",Face
66,59E,"(0.020860999999999998, 0.131551, 0.8536889999999999, 0.9358289999999999)",Body
67,86I,"(0.128374, 0.164706, 0.754199, 0.655615)",Face
67,86I,"(0.117142, 0.164706, 0.7814789999999999, 1.0)",Body
68,68E,"(0.0016049999999999999, 0.24492000000000003, 0.767037, 0.9486629999999999)",Body
68,68E,"(0.378704, 0.251337, 0.709268, 0.482353)",Face
69,79G,"(0.131584, 0.055615, 1.0, 0.848128)",Face
69,79G,"(0.0, 0.057754, 1.0, 1.0)",Body
69,Unknown,"(0.0, 0.005796, 0.61087, 0.476692)",Face
69,Unknown1,,
70,49Y,"(0.12677000000000002, 0.062032, 1.0, 0.823529)",Face
70,49Y,"(0.0, 0.069519, 1.0, 1.0)",Body
70,Unknown,"(0.0, 0.037672, 0.291304, 0.469448)",Face
70,Unknown,"(0.0, 0.047813999999999995, 0.304348, 1.0)",Body
70,Unknown1,,
71,68E,"(0.004814, 0.00107, 1.0, 1.0)",Body
71,68E,"(0.019256, 0.002139, 0.9098529999999999, 0.5625669999999999)",Face
72,86I,"(0.0016049999999999999, 0.098396, 0.8922019999999999, 1.0)",Body
72,86I,"(0.29847, 0.098396, 0.734943, 0.38930499999999996)",Face
73,86I,"(0.20219, 0.453476, 0.612987, 0.708021)",Face
73,86I,"(0.107514, 0.452406, 0.659523, 1.0)",Body
73,Unknown,"(0.15084, 0.087701, 0.505474, 0.312299)",Face
73,Unknown,"(0.086653, 0.087701, 0.616197, 0.628877)",Body
73,Unknown1,,
74,86I,"(0.295261, 0.413904, 0.69964, 0.6673800000000001)",Face
74,86I,"(0.085048, 0.413904, 0.828015, 1.0)",Body
74,Unknown,"(0.36907599999999996, 0.072727, 0.718896, 0.27807499999999996)",Face
74,Unknown,"(0.23909699999999998, 0.072727, 0.816782, 0.618182)",Body
74,Unknown1,,
75,134J,"(0.19898000000000002, 0.459893, 0.42042599999999997, 0.591444)",Face
75,134J,"(0.15084, 0.455615, 0.50066, 0.9443849999999999)",Body
75,35Y,"(0.564847, 0.217112, 1.0, 0.8887700000000001)",Body
75,35Y,"(0.616197, 0.217112, 0.9483649999999999, 0.410695)",Face
75,59E,"(0.125165, 0.255615, 0.43165899999999996, 0.449198)",Face
75,59E,"(0.0, 0.255615, 0.598545, 0.9422459999999999)",Body
76,Unknown,"(0.409193, 0.22994699999999998, 0.670756, 0.39358299999999996)",Face
76,Unknown,"(0.317726, 0.231016, 0.701245, 0.663102)",Body
76,Unknown1,,
77,167I,"(0.29847, 0.253476, 0.6434759999999999, 0.468449)",Face
77,167I,"(0.016047, 0.253476, 0.720501, 0.9422459999999999)",Body
78,167I,"(0.261563, 0.141176, 1.0, 1.0)",Body
78,167I,"(0.266377, 0.14438499999999999, 0.87455, 0.5679139999999999)",Face
78,Unknown,"(0.0, 0.0, 0.903434, 0.898396)",Body
78,Unknown1,,
79,68E,"(0.41329499999999997, 0.084551, 0.775289, 0.659063)",Face
79,68E,"(0.28396000000000005, 0.009755999999999999, 1.0, 1.0)",Body
79,Unknown,"(0.6734100000000001, 0.328447, 0.9978319999999999, 1.0)",Body
79,Unknown1,,
80,167I,"(0.38511599999999996, 0.126826, 0.607659, 0.43901399999999996)",Face
80,167I,"(0.379335, 0.126826, 0.864162, 1.0)",Body
81,G942,"(0.536127, 0.145254, 0.848266, 0.708926)",Face
81,G942,"(0.291908, 0.14417000000000002, 0.928468, 1.0)",Body
81,Unknown,"(0.817391, 0.19242099999999998, 0.969565, 0.5250819999999999)",Face
81,Unknown,"(0.843208, 0.498633, 0.9812139999999999, 0.759873)",Face
81,Unknown,"(0.7897400000000001, 0.204873, 1.0, 1.0)",Body
81,Unknown1,,
81,Unknown2,,
82,49Y,"(0.534682, 0.2504, 0.797688, 0.674238)",Face
82,49Y,"(0.00578, 0.2504, 0.82659, 1.0)",Body
83,G942,"(0.346611, 0.08877, 0.778269, 0.344385)",Face
83,G942,"(0.12997899999999998, 0.084492, 0.988482, 0.995722)",Body
83,Unknown,"(0.7260869999999999, 0.0, 0.928261, 0.134749)",Face
83,Unknown,"(0.373913, 0.0, 1.0, 0.370922)",Body
83,Unknown1,,
83,Unknown2,,
84,86I,"(0.356239, 0.277005, 0.7253149999999999, 0.494118)",Face
84,86I,"(0.34982, 0.275936, 1.0, 1.0)",Body
85,144H,"(0.057768, 0.053475999999999996, 0.983668, 1.0)",Body
85,144H,"(0.062582, 0.050267, 0.5712659999999999, 0.371123)",Face
86,79G,"(0.027280000000000002, 0.0053479999999999995, 1.0, 0.8449200000000001)",Face
86,79G,"(0.003209, 0.006417, 1.0, 1.0)",Body
87,86I,"(0.341763, 0.119238, 0.638728, 0.5409079999999999)",Face
87,86I,"(0.338873, 0.058535, 0.7478319999999999, 0.9723339999999999)",Body
87,Unknown,"(0.0014449999999999999, 0.0, 0.5462429999999999, 0.8314159999999999)",Body
87,Unknown1,,
88,144H,"(0.26589599999999997, 0.28834000000000004, 0.7167629999999999, 0.943066)",Face
88,144H,"(0.0007230000000000001, 0.001084, 0.7167629999999999, 1.0)",Body
89,86I,"(0.22673000000000001, 0.290021, 0.601432, 1.0)",Body
89,86I,"(0.23229899999999998, 0.290021, 0.499602, 0.6982)",Face
90,58I,"(0.292052, 0.283422, 0.534358, 0.43315499999999996)",Face
90,58I,"(0.24712099999999998, 0.275936, 0.714082, 0.8064169999999999)",Body
91,46J,"(0.354634, 0.5016039999999999, 0.996791, 1.0)",Body
91,46J,"(0.752595, 0.607487, 1.0, 0.771123)",Face
91,58I,"(0.0, 0.25668399999999997, 0.343401, 0.77754)",Body
91,58I,"(0.0, 0.263102, 0.21984099999999998, 0.43315499999999996)",Face
92,37I,,
92,58I,"(0.564847, 0.35187199999999996, 0.795921, 0.516578)",Face
92,58I,"(0.44931000000000004, 0.35401099999999996, 0.836038, 0.8438500000000001)",Body
93,58I,"(0.46535699999999997, 0.23957199999999998, 0.778269, 0.411765)",Face
93,58I,"(0.06900099999999999, 0.23957199999999998, 0.8922019999999999, 0.894118)",Body
94,46J,"(0.0, 0.706376, 0.08547, 0.911453)",Face
94,58I,"(0.207004, 0.47486599999999995, 1.0, 1.0)",Body
94,58I,"(0.6515000000000001, 0.47593599999999997, 0.945156, 0.670588)",Face
95,58I,"(0.380309, 0.247059, 0.646686, 0.426738)",Face
95,58I,"(0.0, 0.235294, 0.67557, 0.818182)",Body
96,46J,"(0.436473, 0.28984000000000004, 0.672361, 0.428877)",Face
96,46J,"(0.40277399999999997, 0.28877, 0.8777600000000001, 0.762567)",Body
96,58I,"(0.0016049999999999999, 0.17219299999999998, 0.5504049999999999, 0.7336900000000001)",Body
96,58I,"(0.290447, 0.180749, 0.518311, 0.337968)",Face
97,58I,"(0.264772, 0.372193, 0.5118929999999999, 0.537968)",Face
97,58I,"(0.19256199999999998, 0.35615, 0.7333379999999999, 0.8641709999999999)",Body
98,58I,"(0.49482899999999996, 0.108609, 0.666667, 0.368793)",Face
98,58I,"(0.308671, 0.105028, 0.6786, 0.8951279999999999)",Body
99,46J,"(0.417661, 0.23154000000000002, 0.5680189999999999, 0.436822)",Face
99,46J,"(0.417661, 0.226766, 0.6587109999999999, 0.947642)",Body
99,58I,"(0.231504, 0.204089, 0.544153, 0.9703189999999999)",Body
99,58I,"(0.29753399999999997, 0.20767000000000002, 0.43755000000000005, 0.45233799999999996)",Face
100,58I,"(0.303103, 0.15993000000000002, 0.49642000000000003, 0.39982399999999996)",Face
100,58I,"(0.229117, 0.15993000000000002, 0.531424, 0.9870279999999999)",Body
101,58I,"(0.27685000000000004, 0.182606, 0.46618899999999996, 0.43920899999999996)",Face
101,58I,"(0.23229899999999998, 0.12889799999999998, 0.545744, 1.0)",Body
102,58I,"(0.331742, 0.040579, 0.509944, 0.309118)",Face
102,58I,"(0.27685000000000004, 0.0, 0.6125700000000001, 0.9428679999999999)",Body
103,58I,"(0.594272, 0.152768, 0.7517900000000001, 0.39624299999999996)",Face
103,58I,"(0.548926, 0.14083299999999999, 0.8377089999999999, 1.0)",Body
104,58I,"(0.512331, 0.236314, 0.680986, 0.503659)",Face
104,58I,"(0.383453, 0.226766, 0.8178200000000001, 1.0)",Body
105,58I,"(0.46459799999999996, 0.469047, 0.630072, 0.757875)",Face
105,58I,"(0.439141, 0.367599, 0.680986, 0.874838)",Body
106,58I,"(0.256961, 0.174252, 0.48607799999999995, 0.532303)",Face
106,58I,"(0.20127299999999998, 0.153962, 0.824185, 1.0)",Body
107,26J,"(0.159109, 0.097867, 0.5934769999999999, 1.0)",Body
107,26J,"(0.169451, 0.120544, 0.407319, 0.491724)",Face
108,26J,"(0.5648369999999999, 0.122931, 0.7796339999999999, 0.47620799999999996)",Face
108,26J,"(0.124105, 0.120544, 0.7772469999999999, 1.0)",Body
108,Unknown,"(0.0, 0.0, 0.615385, 0.380401)",Body
108,Unknown1,,
109,DF2I,"(0.175815, 0.087126, 0.8233889999999999, 0.9536100000000001)",Face
109,DF2I,"(0.001591, 0.09190000000000001, 0.9642000000000001, 1.0)",Body
110,167I,"(0.538584, 0.059675, 0.9459029999999999, 0.6707489999999999)",Face
110,167I,"(0.451074, 0.044160000000000005, 1.0, 1.0)",Body
110,86I,"(0.020683999999999998, 0.101448, 0.421639, 0.65046)",Face
110,86I,"(0.003978, 0.079965, 0.43755000000000005, 1.0)",Body
111,68E,"(0.107514, 0.335829, 1.0, 1.0)",Body
111,68E,"(0.27921399999999996, 0.371123, 0.714082, 0.658824)",Face
112,167I,"(0.240255, 0.0, 0.735879, 0.767423)",Face
112,167I,"(0.23468599999999998, 0.002387, 1.0, 1.0)",Body
113,167I,"(0.105012, 0.0, 0.6412089999999999, 0.7220700000000001)",Face
113,167I,"(0.095465, 0.001194, 0.88385, 1.0)",Body
114,167I,"(0.420048, 0.0, 0.968178, 0.620622)",Face
114,167I,"(0.35163099999999997, 0.001194, 1.0, 1.0)",Body
115,86I,"(0.0, 0.0, 0.7621319999999999, 0.9977689999999999)",Body
115,86I,"(0.354018, 0.090706, 0.758154, 0.683878)",Face
116,134J,"(0.462148, 0.451337, 0.863317, 0.8834219999999999)",Body
116,134J,"(0.49103199999999997, 0.452406, 0.7333379999999999, 0.596791)",Face
116,59E,"(0.28563299999999997, 0.28021399999999996, 0.614592, 0.482353)",Face
116,59E,"(0.104304, 0.268449, 0.696431, 0.980749)",Body
117,G942,"(0.362768, 0.315085, 0.7295149999999999, 0.897515)",Face
117,G942,"(0.042959, 0.316279, 0.7334919999999999, 1.0)",Body
118,48Z,"(0.458234, 0.0, 0.708035, 0.318666)",Face
118,48Z,"(0.338107, 0.001194, 0.739857, 1.0)",Body
118,Unknown,"(0.770088, 0.535883, 1.0, 1.0)",Body
118,Unknown1,,
119,134J,"(0.534606, 0.369986, 0.695306, 0.5943649999999999)",Face
119,134J,"(0.5067619999999999, 0.353277, 0.74463, 1.0)",Body
119,59E,"(0.415274, 0.110996, 0.622116, 0.42369399999999996)",Face
119,59E,"(0.280032, 0.093093, 0.622912, 1.0)",Body
120,167I,"(0.190135, 0.206476, 0.916468, 1.0)",Body
120,167I,"(0.334924, 0.241088, 0.5982500000000001, 0.6146539999999999)",Face
121,70G,"(0.48766899999999996, 0.217218, 1.0, 1.0)",Body
121,70G,"(0.545744, 0.229153, 0.983294, 0.872451)",Face
121,79G,"(0.0, 0.0, 0.371519, 0.565721)",Face
121,79G,"(0.0, 0.0, 0.479714, 0.985834)",Body
122,167I,"(0.44073199999999996, 0.021483, 0.70008, 0.361632)",Face
122,167I,"(0.325378, 0.0, 0.741448, 1.0)",Body
123,Unknown,"(0.296738, 0.050127, 0.722355, 1.0)",Body
123,Unknown,"(0.338902, 0.06683599999999999, 0.5696100000000001, 0.393856)",Face
123,Unknown1,,
124,Unknown,"(0.287987, 0.16351000000000002, 0.587908, 1.0)",Body
124,Unknown,"(0.323787, 0.181413, 0.570406, 0.523948)",Face
124,Unknown1,,
125,68E,"(0.240255, 0.262571, 0.599841, 0.824711)",Face
125,68E,"(0.19172599999999998, 0.26973199999999997, 0.77327, 1.0)",Body
126,68E,"(0.287192, 0.076384, 0.673827, 1.0)",Body
126,68E,"(0.313445, 0.056095, 0.661098, 0.612267)",Face
127,68E,"(0.33572, 0.14083299999999999, 0.653142, 0.744746)",Face
127,68E,"(0.062848, 0.079965, 0.6563249999999999, 1.0)",Body
128,48Z,,
128,49Y,"(0.5194909999999999, 0.050127, 0.916468, 0.843807)",Face
128,49Y,"(0.26889399999999997, 0.050127, 0.951472, 1.0)",Body
128,Unknown,"(0.0, 0.022192999999999997, 0.319527, 0.541505)",Face
128,Unknown,"(0.0, 0.013316, 0.39645, 1.0)",Body
128,Unknown1,,
129,G942,"(0.292052, 0.22352899999999998, 0.667547, 0.46738)",Face
129,G942,"(0.046536, 0.212834, 0.828015, 0.9486629999999999)",Body
130,70G,"(0.057768, 0.0, 0.906644, 0.450267)",Face
130,70G,"(0.0, 0.0, 0.962808, 1.0)",Body
131,144H,"(0.089862, 0.0, 0.778269, 0.484492)",Face
131,144H,"(0.003209, 0.002139, 0.9082479999999999, 1.0)",Body
132,79G,"(0.27761, 0.045988999999999995, 0.744571, 0.36363599999999996)",Face
132,79G,"(0.0, 0.037433, 1.0, 1.0)",Body
133,14F,"(0.29203399999999996, 0.400564, 0.651785, 0.6135400000000001)",Face
