,jpg_id,file_name,date_annotated,mkgroup,total_num_mk,idable_num_mk,monkey_ids
109,2137109,20220421_SD02_5031.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
110,2137110,20220421_SD02_5032.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
111,2137111,20220421_SD02_5037.JPG,2022-06-27,Zombies,3,3,"7124, 110E, 151J"
112,2137112,20220421_SD02_5043.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
113,2137113,20220421_SD02_5047.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
114,2137114,20220421_SD02_5054.JPG,2022-06-27,Zombies,2,2,"94B, 87J"
115,2137115,20220421_SD02_5057.JPG,2022-06-27,Zombies,2,2,"94B, 87J"
116,2137116,20220421_SD02_5063.JPG,2022-06-27,Zombies,3,3,"7124, 110E, 151J"
117,2137117,20220421_SD02_5066.JPG,2022-06-27,Zombies,3,3,"7124, 110E, 151J"
118,2137118,20220426_SD02_5324.JPG,2022-06-27,Zombies,1,1,143H
119,2137119,20220426_SD02_5325.JPG,2022-06-27,Zombies,1,1,143H
120,2137120,20220426_SD02_5330.JPG,2022-06-27,Zombies,2,2,"81G, 59K"
121,2137121,20220426_SD02_5331.JPG,2022-06-27,Zombies,1,1,69X
122,2137122,20220426_SD02_5333.JPG,2022-06-27,Zombies,1,1,94B
123,2137123,20220426_SD02_5336.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
124,2137124,20220426_SD02_5338.JPG,2022-06-27,Zombies,1,1,143H
125,2137125,20220426_SD02_5339.JPG,2022-06-27,Zombies,1,1,143H
126,2137126,20220426_SD02_5341.JPG,2022-06-27,Zombies,1,1,69X
127,2137127,20220426_SD02_5342.JPG,2022-06-27,Zombies,1,1,143H
128,2137128,20220426_SD02_5343.JPG,2022-06-27,Zombies,1,1,69X
129,2137129,20220426_SD02_5344.JPG,2022-06-27,Zombies,1,1,69X
130,2137130,20220426_SD02_5345.JPG,2022-06-27,Zombies,1,1,143H
131,2137131,20220426_SD02_5349.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
132,2137132,20220426_SD02_5350.JPG,2022-06-27,Zombies,1,1,69X
133,2137133,20220426_SD02_5352.JPG,2022-06-27,Zombies,2,2,"94B, 87J"
134,2137134,20220426_SD02_5353.JPG,2022-06-27,Zombies,2,2,"94B, 87J"
135,2137135,20220426_SD02_5354.JPG,2022-06-27,Zombies,2,2,"94B, 87J"
136,2137136,20220426_SD02_5356.JPG,2022-06-27,Zombies,1,1,72X
137,2137137,20220426_SD02_5357.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
138,2137138,20220426_SD02_5358.JPG,2022-06-27,Zombies,3,3,"69X, 143H, 110E"
139,2137139,20220426_SD02_5359.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
140,2137140,20220426_SD02_5360.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
141,2137141,20220426_SD02_5361.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
142,2137142,20220426_SD02_5362.JPG,2022-06-27,Zombies,2,2,"81G, 59K"
143,2137143,20220426_SD02_5364.JPG,2022-06-27,Zombies,1,1,143H
144,2137144,20220426_SD02_5365.JPG,2022-06-27,Zombies,1,1,94B
145,2137145,20220426_SD02_5366.JPG,2022-06-27,Zombies,1,1,94B
146,2137146,20220426_SD02_5369.JPG,2022-06-27,Zombies,1,1,72X
147,2137147,20220426_SD02_5372.JPG,2022-06-27,Zombies,2,1,"72X, Unknown1"
148,2137148,20220426_SD02_5374.JPG,2022-06-27,Zombies,1,1,72X
149,2137149,20220426_SD02_5375.JPG,2022-06-27,Zombies,2,2,"94B, 87J"
150,2137150,20220426_SD02_5376.JPG,2022-06-27,Zombies,2,2,"94B, 87J"
151,2137151,20220426_SD02_5377.JPG,2022-06-27,Zombies,2,2,"94B, 87J"
152,2137152,20220426_SD02_5378.JPG,2022-06-27,Zombies,2,2,"94B, 87J"
153,2137153,20220426_SD02_5380.JPG,2022-06-27,Zombies,1,1,67G
154,2137154,20220426_SD02_5381.JPG,2022-06-27,Zombies,1,1,67G
155,2137155,20220426_SD02_5386.JPG,2022-06-27,Zombies,2,2,"67G, 151J"
156,2137156,20220426_SD02_5387.JPG,2022-06-27,Zombies,1,1,67G
157,2137157,20220426_SD02_5388.JPG,2022-06-27,Zombies,1,1,67G
158,2137158,20220426_SD02_5389.JPG,2022-06-27,Zombies,2,1,"151J, Unknown1"
159,2137159,20220426_SD02_5391.JPG,2022-06-27,Zombies,2,2,"67G, 151J"
160,2137160,20220426_SD02_5395.JPG,2022-06-27,Zombies,2,1,"143H, Unknown1"
161,2137161,20220426_SD02_5396.JPG,2022-06-27,Zombies,2,2,"81G, 59K"
162,2137162,20220426_SD02_5397.JPG,2022-06-27,Zombies,2,2,"81G, 59K"
163,2137163,20220426_SD02_5398.JPG,2022-06-27,Zombies,3,3,"69X, 81G, 59K"
164,2137164,20220426_SD02_5399.JPG,2022-06-27,Zombies,2,1,"69X, Unknown1"
165,2137165,20220426_SD02_5400.JPG,2022-06-27,Zombies,1,1,69X
166,2137166,20220426_SD02_5404.JPG,2022-06-27,Zombies,1,0,Unknown1
167,2137167,20220426_SD02_5405.JPG,2022-06-27,Zombies,2,0,"Unknown1,  Unknown2"
168,2137168,20220426_SD02_5408.JPG,2022-06-27,Zombies,2,2,"72X, 143H"
169,2137169,20220426_SD02_5409.JPG,2022-06-27,Zombies,2,2,"81G, 59K"
170,2137170,20220426_SD02_5411.JPG,2022-06-27,Zombies,1,0,Unknown1
171,2137171,20220426_SD02_5413.JPG,2022-06-27,Zombies,2,2,"81G, 59K"
172,2137172,20220426_SD02_5414.JPG,2022-06-27,Zombies,2,2,"81G, 59K"
173,2137173,20220426_SD02_5415.JPG,2022-06-27,Zombies,2,2,"81G, 59K"
174,2137174,20220426_SD02_5416.JPG,2022-06-27,Zombies,2,2,"81G, 59K"
175,2137175,20220426_SD02_5417.JPG,2022-06-27,Zombies,2,2,"81G, 59K"
176,2137176,20220426_SD02_5421.JPG,2022-06-27,Zombies,1,1,69X
177,2137177,20220426_SD02_5427.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
178,2137178,20220426_SD02_5428.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
179,2137179,20220426_SD02_5434.JPG,2022-06-27,Zombies,1,1,143H
180,2137180,20220426_SD02_5435.JPG,2022-06-27,Zombies,1,1,143H
181,2137181,20220426_SD02_5436.JPG,2022-06-27,Zombies,1,1,143H
182,2137182,20220426_SD02_5437.JPG,2022-06-27,Zombies,1,1,69X
183,2137183,20220426_SD02_5444.JPG,2022-06-27,Zombies,1,1,110E
184,2137184,20220426_SD02_5452.JPG,2022-06-27,Zombies,1,1,69X
185,2137185,20220426_SD02_5461.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
186,2137186,20220426_SD02_5469.JPG,2022-06-27,Zombies,1,1,7124
187,2137187,20220426_SD02_5482.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
188,2137188,20220426_SD02_5484.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
189,2137189,20220426_SD02_5485.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
190,2137190,20220426_SD02_5494.JPG,2022-06-27,Zombies,1,1,94B
191,2137191,20220426_SD02_5495.JPG,2022-06-27,Zombies,2,2,"69X, 94B"
192,2137192,20220426_SD02_5496.JPG,2022-06-27,Zombies,2,2,"69X, 94B"
193,2137193,20220426_SD02_5498.JPG,2022-06-27,Zombies,2,2,"69X, 94B"
194,2137194,20220426_SD02_5499.JPG,2022-06-27,Zombies,1,1,69X
195,2137195,20220426_SD02_5500.JPG,2022-06-27,Zombies,1,1,143H
196,2137196,20220426_SD02_5501.JPG,2022-06-27,Zombies,1,1,143H
197,2137197,20220426_SD02_5504.JPG,2022-06-27,Zombies,1,1,143H
198,2137198,20220426_SD02_5505.JPG,2022-06-27,Zombies,1,1,143H
199,2137199,20220426_SD02_5506.JPG,2022-06-27,Zombies,1,1,143H
200,2137200,20220426_SD02_5507.JPG,2022-06-27,Zombies,1,1,143H
201,2137201,20220426_SD02_5509.JPG,2022-06-27,Zombies,1,1,143H
202,2137202,20220426_SD02_5510.JPG,2022-06-27,Zombies,1,1,143H
203,2137203,20220426_SD02_5511.JPG,2022-06-27,Zombies,1,1,143H
204,2137204,20220426_SD02_5512.JPG,2022-06-27,Zombies,1,1,143H
205,2137205,20220426_SD02_5513.JPG,2022-06-27,Zombies,1,1,143H
206,2137206,20220426_SD02_5514.JPG,2022-06-27,Zombies,1,1,143H
207,2137207,20220426_SD02_5518.JPG,2022-06-27,Zombies,1,1,143H
208,2137208,20220426_SD02_5525.JPG,2022-06-27,Zombies,1,1,69X
209,2137209,20220426_SD02_5531.JPG,2022-06-27,Zombies,2,2,"81G, 59K"
210,2137210,20220426_SD02_5534.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
211,2137211,20220426_SD02_5535.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
212,2137212,20220426_SD02_5536.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
213,2137213,20220426_SD02_5537.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
214,2137214,20220426_SD02_5538.JPG,2022-06-27,Zombies,2,2,"7124, 110E"
215,2137215,20220426_SD02_5540.JPG,2022-06-27,Zombies,3,3,"72X, 81G, 59K"
216,2137216,20220426_SD02_5541.JPG,2022-06-27,Zombies,3,3,"72X, 81G, 59K"
217,2137217,20220426_SD02_5545.JPG,2022-06-27,Zombies,2,2,"87J, 151J"
218,2137218,20220426_SD02_5546.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
219,2137219,20220426_SD02_5547.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
220,2137220,20220426_SD02_5548.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
221,2137221,20220426_SD02_5549.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
222,2137222,20220426_SD02_5550.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
223,2137223,20220426_SD02_5551.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
224,2137224,20220426_SD02_5552.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
225,2137225,20220426_SD02_5553.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
226,2137226,20220426_SD02_5554.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
227,2137227,20220426_SD02_5556.JPG,2022-06-27,Zombies,1,1,151J
228,2137228,20220426_SD02_5557.JPG,2022-06-27,Zombies,2,2,"87J, 151J"
229,2137229,20220426_SD02_5558.JPG,2022-06-27,Zombies,2,2,"87J, 151J"
230,2137230,20220426_SD02_5559.JPG,2022-06-27,Zombies,2,2,"87J, 151J"
231,2137231,20220426_SD02_5566.JPG,2022-06-27,Zombies,1,1,72X
232,2137232,20220426_SD02_5569.JPG,2022-06-27,Zombies,1,1,94B
233,2137233,20220426_SD02_5571.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
234,2137234,20220426_SD02_5583.JPG,2022-06-27,Zombies,1,1,143H
235,2137235,20220426_SD02_5592.JPG,2022-06-27,Zombies,1,1,143H
236,2137236,20220426_SD02_5594.JPG,2022-06-27,Zombies,1,1,69X
237,2137237,20220426_SD02_5597.JPG,2022-06-27,Zombies,1,0,Unknown1
238,2137238,20220426_SD02_5598.JPG,2022-06-27,Zombies,1,0,Unknown1
239,2137239,20220426_SD02_5603.JPG,2022-06-27,Zombies,1,0,Unknown1
240,2137240,20220426_SD02_5604.JPG,2022-06-27,Zombies,1,1,143H
241,2137241,20220503_SD03_5801.JPG,2022-06-27,Zombies,2,1,"72X, Unknown1"
242,2137242,20220503_SD03_5804.JPG,2022-06-27,Zombies,2,0,"Unknown1, Unknown2"
243,2137243,20220503_SD03_5805.JPG,2022-06-27,Zombies,2,0,"Unknown1, Unknown2"
244,2137244,20220503_SD03_5807.JPG,2022-06-27,Zombies,1,1,72X
245,2137245,20220503_SD03_5811.JPG,2022-06-27,Zombies,2,1,"72X, Unknown1"
246,2137246,20220503_SD03_5812.JPG,2022-06-27,Zombies,2,1,"72X, Unknown1"
247,2137247,20220503_SD03_5813.JPG,2022-06-27,Zombies,2,1,"72X, Unknown1"
248,2137248,20220503_SD03_5820.JPG,2022-06-27,Zombies,1,0,Unknown1
249,2137249,20220503_SD03_5822.JPG,2022-06-27,Zombies,2,2,"110E, 151J"
250,2137250,20220503_SD03_5823.JPG,2022-06-27,Zombies,2,2,"94B, 87J"
251,2137251,20220503_SD03_5824.JPG,2022-06-27,Zombies,2,2,"94B, 87J"
252,2137252,20220607_SD04_6219.JPG,2022-06-27,Zombies,1,1,87J
253,2137253,20220607_SD04_6220.JPG,2022-06-27,Zombies,1,1,94B
254,2137254,20220607_SD04_6222.JPG,2022-06-27,Zombies,1,1,69X
255,2137255,20220607_SD04_6223.JPG,2022-06-27,Zombies,1,1,143H
256,2137256,20220607_SD04_6226.JPG,2022-06-27,Zombies,1,1,143H
257,2137257,20220607_SD04_6227.JPG,2022-06-27,Zombies,1,1,87J
258,2137258,20220607_SD04_6233.JPG,2022-06-27,Zombies,1,1,143H
259,2137259,20220607_SD04_6234.JPG,2022-06-27,Zombies,1,1,67G
260,2137260,20220607_SD04_6235.JPG,2022-06-27,Zombies,1,1,67G
261,2137261,20220607_SD04_6236.JPG,2022-06-27,Zombies,1,1,67G
262,2137262,20220607_SD04_6237.JPG,2022-06-27,Zombies,2,2,"110E, 151J"
263,2137263,20220607_SD04_6239.JPG,2022-06-27,Zombies,1,1,110E
264,2137264,20220607_SD04_6242.JPG,2022-06-27,Zombies,1,1,72X
265,2137265,20220607_SD04_6245.JPG,2022-06-27,Zombies,1,1,72X
266,2137266,20220607_SD04_6246.JPG,2022-06-27,Zombies,2,2,"94B, 98K"
267,2137267,20220607_SD04_6247.JPG,2022-06-27,Zombies,2,2,"94B, 98K"
268,2137268,20220607_SD04_6248.JPG,2022-06-27,Zombies,1,1,72X
269,2137269,20220607_SD04_6249.JPG,2022-06-27,Zombies,1,1,72X
270,2137270,20220607_SD04_6251.JPG,2022-06-27,Zombies,1,1,87J
271,2137271,20220607_SD04_6252.JPG,2022-06-27,Zombies,1,1,87J
272,2137272,20220607_SD04_6253.JPG,2022-06-27,Zombies,1,1,67G
273,2137273,20220607_SD04_6254.JPG,2022-06-27,Zombies,1,1,67G
274,2137274,20220607_SD04_6256.JPG,2022-06-27,Zombies,1,1,87J
275,2137275,20220607_SD04_6257.JPG,2022-06-27,Zombies,1,1,87J
276,2137276,20220607_SD04_6258.JPG,2022-06-27,Zombies,1,1,87J
277,2137277,20220607_SD04_6259.JPG,2022-06-27,Zombies,1,1,87J
278,2137278,20220607_SD04_6260.JPG,2022-06-27,Zombies,1,1,87J
279,2137279,20220607_SD04_6261.JPG,2022-06-27,Zombies,1,1,69X
280,2137280,20220607_SD04_6263.JPG,2022-06-27,Zombies,3,3,"69X, 94B, 98K"
281,2137281,20220607_SD04_6264.JPG,2022-06-27,Zombies,3,3,"69X, 94B, 98K"
282,2137282,20220607_SD04_6265.JPG,2022-06-27,Zombies,3,3,"69X, 94B, 98K"
283,2137283,20220607_SD04_6266.JPG,2022-06-27,Zombies,3,3,"69X, 94B, 98K"
284,2137284,20220607_SD04_6268.JPG,2022-06-27,Zombies,1,1,69X
285,2137285,20220607_SD04_6269.JPG,2022-06-27,Zombies,2,2,"94B, 98K"
286,2137286,20220607_SD04_6270.JPG,2022-06-27,Zombies,2,2,"94B, 98K"
287,2137287,20220607_SD04_6271.JPG,2022-06-27,Zombies,1,1,110E
288,2137288,20220607_SD04_6272.JPG,2022-06-27,Zombies,1,1,110E
289,2137289,20220607_SD04_6273.JPG,2022-06-27,Zombies,1,1,110E
290,2137290,20220607_SD04_6274.JPG,2022-06-27,Zombies,1,1,110E
291,2137291,20220607_SD04_6275.JPG,2022-06-27,Zombies,1,1,110E
292,2137292,20220607_SD04_6276.JPG,2022-06-27,Zombies,1,1,110E
293,2137293,20220607_SD04_6277.JPG,2022-06-27,Zombies,1,1,110E
294,2137294,20220607_SD04_6278.JPG,2022-06-27,Zombies,1,1,110E
295,2137295,20220607_SD04_6280.JPG,2022-06-27,Zombies,1,1,7124
296,2137296,20220607_SD04_6281.JPG,2022-06-27,Zombies,1,1,110E
297,2137297,20220607_SD04_6282.JPG,2022-06-27,Zombies,1,1,110E
298,2137298,20220607_SD04_6283.JPG,2022-06-27,Zombies,1,1,110E
299,2137299,20220607_SD04_6284.JPG,2022-06-27,Zombies,1,1,7124
300,2137300,20220607_SD04_6285.JPG,2022-06-27,Zombies,1,1,7124
301,2137301,20220607_SD04_6286.JPG,2022-06-27,Zombies,1,1,72X
302,2137302,20220607_SD04_6288.JPG,2022-06-27,Zombies,2,2,"94B, 98K"
303,2137303,20220607_SD04_6292.JPG,2022-06-27,Zombies,2,2,"94B, 98K"
304,2137304,20220607_SD04_6293.JPG,2022-06-27,Zombies,2,2,"94B, 98K"
305,2137305,20220607_SD04_6294.JPG,2022-06-27,Zombies,2,2,"94B, 98K"
306,2137306,20220607_SD04_6296.JPG,2022-06-27,Zombies,2,2,"94B, 98K"
307,2137307,20220607_SD04_6297.JPG,2022-06-27,Zombies,2,2,"94B, 98K"
308,2137308,20220607_SD04_6298.JPG,2022-06-27,Zombies,2,2,"94B, 98K"
309,2137309,20220607_SD04_6299.JPG,2022-06-27,Zombies,1,1,143H
310,2137310,20220607_SD04_6300.JPG,2022-06-27,Zombies,1,1,143H
311,2137311,20220607_SD04_6301.JPG,2022-06-27,Zombies,1,1,143H
312,2137312,20220607_SD04_6302.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
313,2137313,20220607_SD04_6303.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
314,2137314,20220607_SD04_6304.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
315,2137315,20220607_SD04_6305.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
316,2137316,20220607_SD04_6306.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
317,2137317,20220607_SD04_6307.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
318,2137318,20220607_SD04_6308.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
319,2137319,20220607_SD04_6309.JPG,2022-06-27,Zombies,2,2,"69X, 143H"
320,2137320,20220607_SD04_6310.JPG,2022-06-27,Zombies,1,1,110E
321,2137321,20220607_SD04_6311.JPG,2022-06-27,Zombies,1,1,110E
322,2137322,20220607_SD04_6312.JPG,2022-06-27,Zombies,1,1,67G
323,2137323,20220607_SD04_6313.JPG,2022-06-27,Zombies,2,2,"7124, 67G"
